,0
0,"[-41.67514704 -43.21959905 -42.74946956 -42.35609491 -43.37143183
 -43.15217993 -43.14674717 -42.12246681 -43.80293383 -42.04279946
 -41.98965849 -42.51420379 -42.62485941 -42.38894641 -43.00585837
 -41.83770804 -42.90355781 -42.05356691 -41.71024421 -42.65837775
 -44.16334912 -43.03243376 -42.7993352  -40.81553605 -39.70414527
 -40.82177293 -40.84764226 -41.84140506 -42.52566749 -42.12606576
 -42.22052118 -42.24137943 -42.18223692 -43.22843464 -42.84719052
 -43.55263482 -42.20483091 -43.29998226 -41.41612032 -41.39679187
 -39.25073572 -40.70382133 -41.49842558 -40.71105847 -38.82523524
 -37.64189477]"
1,"[-48.91750453  47.06231627  47.39494997 -49.0569663   47.27501748
  47.20794158  47.57519194 -48.86877153 -48.84028095 -49.09544649
  48.80521096  48.39736203  47.13684505  46.38312375  45.30373132
  47.10311097 -48.40632831  48.83688569 -48.94969606  48.4666934
  48.90160805 -48.49021928  47.88527088 -48.83145517  48.59133298
 -48.7922952   48.31498812  49.07341649  48.85551788  48.70695065
 -48.7550367   48.07080831 -48.70149267  48.88680036  48.88670229
 -48.86861953  47.66796065  48.95760269  48.32253906  48.58152656
 -48.81102252  48.81129094  47.21853251 -48.32114682 -47.5041506
 -46.24890947  48.39942138  48.77039817 -47.91129346 -48.32674433
  48.17554085  46.97307787 -48.07450168  47.69747797 -48.84489487
  48.48640431 -48.84736805  48.55338214  48.8836623   48.58790073
 -49.03591065 -48.75030608 -47.80800246  47.70336182 -48.50149568
  48.24957931 -48.49290624  48.22682842 -48.01714394  48.39834267
  48.80530902 -48.72180078  48.9099435   48.8310999   48.12847005
  48.58074205 -48.87635189  48.78657876  48.53504414  48.48689463
 -48.69834874  48.6720398  -48.40537317  47.28031294 -48.89864679
  48.53220028  47.17528621 -48.92338544  48.6457586  -48.31733703
 -47.33691194 -46.98104684 -45.08460326 -45.53589462  46.92600706
  44.05419752  43.49621233  44.75506222  43.30086849  43.48513108
  39.92932388  35.1080965   34.43841621  36.40430884  36.1312001
  35.99557733  35.99283154  35.6761823   35.90555442  37.49615543
  36.10717437  35.8708397   36.70801361  36.22308623  35.64215403
  36.01568049  36.11090081  36.17464253  36.57572503  36.43745453
  35.51751445  36.07206739  35.98851671  35.08475722  34.39262023
  34.42027433  37.58970866  42.1772491   44.33142496  44.3168134
  46.32418718  48.1447487  -47.05253563 -42.59873511 -38.25773783
 -36.63252016 -37.28229342 -37.59815814 -38.59694183 -40.97128158
 -39.8284122  -40.75687405 -39.73226027 -40.28181194 -40.12641944
 -40.16518421 -40.6082774  -41.74522371 -43.29681479 -44.22376646
 -42.87044154 -43.87862958 -43.59051701 -43.81395625 -43.39713445
 -44.74132959 -42.72520849 -39.38384804]"
2,"[-46.56179305 -46.87491198 -46.21241979 -46.01616394 -46.34424747
 -47.80697279 -48.45607333]"
3,"[-45.43821289 -47.18470653 -46.29147913 -45.33984471 -45.37060744
 -46.45119626 -46.40623384 -43.50576995 -48.77800823 -48.88788718
 -45.4117944  -42.62181942 -40.91017779 -39.55569571 -39.98205916
 -40.85018212 -40.24168407 -35.91635744]"
4,"[-48.67995778  48.0500187   46.19670375  44.6995579   45.19203621
  46.38371214  47.15292757  43.9658417   43.52268966  44.21208085
  44.61169239  46.58337081  47.66972581  48.75588467 -45.60046008]"
5,"[-34.95856459 -36.54220305 -37.42889937 -36.74039076 -35.86536407
 -37.54853767 -35.59647209 -36.50523285 -35.46271254 -35.33640588
 -35.81623391 -35.96705662 -36.54602755 -35.79554237 -37.62522386
 -39.82519569 -38.4086586  -36.30753546 -33.84190776 -34.14522027
 -34.12874549]"
6,"[-42.76672886 -42.06065695 -42.20237931 -42.75051885 -42.97776298
 -39.44629531 -35.60647463 -32.743687   -30.80790007 -31.31685317
 -32.37839793]"
7,"[-32.79262103 -29.17974048 -27.6243445  -26.54259852 -25.11654921
 -25.3917173  -26.22506671 -29.12796259 -29.37851657]"
8,"[-46.11628747  48.36617762  49.06164879 -47.65567937 -46.48915691
 -46.29911833 -44.15056155 -46.7996281  -47.99291228  48.42835031
  48.32136229  48.8155077   46.46353638  43.7079329   43.94083533
  43.59329587  43.16828571  42.98745536  44.4468465   44.26464326
  43.70204905  42.23432246  40.8636794   41.30996949  39.74310001
  40.86985744  39.39497216  39.25150427  39.65180225  40.25528922
  37.46624585  35.85593394  36.34674517  38.24664061  37.92548041
  38.26576312  38.97751295  40.36855335  42.03427153  43.1716199
  42.17136525  39.98414176  37.08095169  35.70815122  34.98169177
  31.67428114  31.3483158   30.72207794  27.75043907  26.09158539
  26.47844858  27.48291999  26.5591554   27.10939352  27.58343577
  24.90795073  23.47415434  24.36251775  23.65155244  21.92101384]"
9,"[-42.71372517 -43.72233488 -43.53383592 -44.35953632 -43.42266055
 -43.07226743 -42.97926336 -44.36453759 -43.14171648 -43.29146049
 -43.74034927 -43.95542364 -43.88468014 -44.29109733 -43.96372967
 -43.9289365  -43.46303358 -43.3062976  -44.0404747  -43.08342713
 -43.489658   -43.12058365 -42.55289011 -43.3654401  -44.0421614
 -42.83176503 -43.0025536  -42.46881969 -43.50925123 -43.39399639
 -43.64231451 -44.29912878 -44.69140512 -43.50036661 -43.50171009
 -43.30904339 -43.00879048 -44.05242872 -43.0543413  -44.24355581
 -43.42476893 -44.08883015 -44.17270444 -43.47836101 -42.85704597
 -43.92396465 -44.53258037 -43.63055662 -43.84770013 -43.3281561
 -44.59263488 -44.20452627 -44.17801952 -43.31969316 -42.95753234
 -46.89650571  48.87395395 -48.93799504 -48.86630032 -48.40735505
 -48.89870955  48.32165648  47.12949023  48.47640176  48.60663099
  48.31243845  48.87768039  48.25713025  46.78959978  46.7651818
  47.71816951  44.39212669  44.5336333   42.93312781  42.56489681
  43.36686568  44.86391346  46.32997297  46.70389169  47.1848965
  48.00559563  47.20146934  46.58140953  48.16181187  46.53816322
  47.93018427  48.0472729   46.90188327  47.03927119  47.31679282
  46.60170881  46.44304097  47.05476533  46.62455777  46.74145027
  47.28217616  46.71105037  47.59921766  44.51088241  44.85038061
  45.51309834  46.45402416  47.67678643  46.90884583  44.49401537
  44.41075888  44.75378739]"
