,0
0,"[-48.12272672  48.22488362 -48.48494659  48.65795683 -49.0952929
 -48.37212489  48.81058693 -48.44370704  48.94977852 -48.77950209
 -48.39287219 -48.7767114   48.67777128 -48.96847013  48.05577418
  48.35083289  48.13758234 -47.91930002  48.87277683 -48.10799242
 -48.94062494 -49.11901246  46.1364212   42.8094577   43.32247534
  42.29997136  42.39237339  44.08542967  44.77599261  43.49737217
  43.23605688  43.14944224  40.91403901  43.00809264  42.05444877
  40.96789115  42.44063432  41.20890154  42.11271502  45.99085368
 -48.84893015 -47.76898487  48.12434001  47.39728711 -48.99227032
  48.44617766  47.9582714   48.58890053 -48.34692033  48.48629701
 -49.04947453 -49.06581339  48.63029507 -48.09377212  47.61043956
  46.59754853  46.98069325  45.37601725  43.09353018  44.7522545
  45.66303247  44.22903537  45.59299526  45.9204241   44.36116439
  43.65598585  44.10838304  43.99861885  44.59226755  44.18989693
  44.73881599  44.85505421  44.94804479  44.88948427  42.81828592
  43.5830059   42.22130211  44.49417623  44.78364373  44.72469084
  44.55420812  45.33099333  44.20353163  42.38756691  41.74163553
  43.56691892  44.28141614  43.05743258  40.98809796  43.70434487
  43.47098561  44.48348427  42.61817962  42.77973603  43.01103538
  41.62392594  42.62269182  42.29320306  42.09044829  42.66398827
  42.36196508  40.00002404  35.90186653  35.97131519  35.72039758
  34.49876821  35.39159546  36.00603952  37.01893055  38.81243236
  40.94974426]"
1,"[-18.22463282 -19.93201044 -17.87170023 -16.38375291 -14.73689763
 -16.05014431 -14.76014528 -15.50524699 -14.74307739 -16.05544124
 -16.66929675 -16.39503341 -16.70666955 -18.51459078 -18.40247239
 -20.36204281 -22.6091189  -24.00858785 -24.40016842 -23.18413026
 -22.93507638 -25.13565718 -22.9461607  -18.38108848 -13.61963743
 -10.96558043]"
2,"[-21.49499762 -22.15348469 -21.4726328  -22.94184468 -25.71988912
 -27.69279996 -25.33939287 -22.2947362  -20.23589736 -20.80806407
 -23.65379152 -24.77801621 -24.1358123  -22.25334166 -22.16574611
 -22.0833494  -21.76622014 -22.09933828 -22.55919042 -21.40190896
 -24.33464342 -27.43609496 -28.21405726 -28.73354893 -30.5827666
 -31.89885792 -32.87986927 -35.76336189 -36.65118648 -36.43587602
 -35.78445152 -38.5338533  -43.58131903 -39.13633022 -33.68147159
 -29.68581952 -25.58736774 -21.38572389 -22.86543154 -20.09856951
 -18.4011972  -17.62274444 -14.02298896 -15.20636272 -17.86816894
 -20.3112315  -19.14629892 -16.60288893 -15.63001916 -15.66287975
 -17.69170264 -20.17714066 -17.4287198  -16.2752639  -16.26084447
 -16.36835257 -16.86852024 -16.3114596  -16.59513971 -17.37702567
 -16.87764273 -18.25827814 -17.17888119 -16.55031198 -14.82635692
 -13.65200757 -14.27488749 -14.15443134 -16.19198436 -15.79814769
 -14.54336345 -16.80574179 -18.49830762 -16.87656373 -16.70039171
 -16.3193069  -16.68528564 -16.59857291 -16.54521123 -16.96445355
 -18.02550743 -16.96778866 -17.67365384 -16.81457001 -18.04022113
 -17.91858788 -16.07339195 -17.26500538 -19.20319189 -16.19208245
 -16.01237915 -17.27118513 -18.05159972 -15.59862993 -18.92019841
 -19.87148809 -17.97067438 -16.62221292 -16.39983988 -17.46550405
 -18.06140885 -17.52426075 -17.79126534 -16.86832406 -18.11280871
 -17.19379107 -16.66821775 -19.2381124  -17.22037382 -16.68548182
 -17.7193644  -16.95788144 -16.343045   -17.48590704 -19.3907425
 -21.10116095 -18.21364659 -16.26888796 -17.77292226 -16.75738277
 -15.59588338]"
3,"[-10.39841638  -7.98340794  -7.89934367  -9.50303876  -7.91837339
  -9.20336976 -10.06618106  -7.88041205  -9.6484101   -9.76621779
  -7.22692763  -8.50378242  -8.38774038  -8.32250965  -8.06904167
  -9.45006944  -9.28939585  -8.89340117  -8.3989228   -8.55547655
  -8.41069375  -8.69496242  -9.02925766  -8.74891265  -8.60069665
  -8.09277977  -7.38966114  -6.91558576  -7.08714749  -6.36205641
  -6.66986699  -7.56828545  -8.97001049  -7.29647438  -8.76333207
  -8.25129535  -8.11740069 -11.50684836 -13.3519462  -16.46536489
 -16.52677006 -13.70262269 -14.29489812 -11.46359009  -8.1952852
  -7.38406994  -6.62994382  -6.78296629  -4.19227628  -3.67611973
  -6.12997234  -7.23349975  -7.41663626  -8.81679184 -11.05150843
  -9.07192738  -6.85996798  -6.94766163  -8.56832651  -3.38106102
  -4.77974523  -3.72310547  -3.84571963  -6.57981916  -9.28969013
  -7.28597861]"
4,"[ 4.69881959  4.65046056  3.74399862  4.7891617   3.7091762   6.79591404
  4.09339992  3.56400104  1.49084086  0.57849344  0.16494041 -0.83990713
 -0.75809896 -1.85211152 -3.91909194 -6.12212503 -5.89896726 -5.51543018]"
5,"[26.80203232 24.91446094 22.42372599 23.00050299 23.42906399 23.83673154
 23.0082522  21.61663056 22.81589511 25.85074264 29.4066513  33.24633816
 36.08961333 38.19759593 39.57136495 40.96347704 39.8013891  40.91521611
 39.11994866 40.65684356 40.35737074 40.71579644 40.96524269 40.4539907
 40.56679572 40.54923737 39.8330726  38.87570126 40.22426081 41.26599069
 42.84074884 44.66465895 44.49711897 43.58467345 44.79404141 44.90213805
 41.39056668 37.60041593 32.26513063 27.30749693 24.88169844 27.89800671
 28.78936259 27.55527561 28.53373659 29.37241743 29.72172064 28.43682236
 27.88584338 29.09648653 29.15024057 30.1462599  29.68670203 29.85414393
 28.62358825 29.46236717 29.68758486 29.48227971 30.08161771 32.28543553
 30.52489241 32.33457929 30.94335001 28.35216955 29.27216809 30.54725724
 30.97552397 30.85330217 31.80851551 31.10696634 31.0362425  31.90886293
 30.60385593 31.04340316 29.79322921 27.92547228 27.52418066]"
6,[44.5510692  46.41784522]
7,"[-47.05006374 -47.77637115 -47.07385088 -48.34222273 -47.28630689
 -47.94893341 -47.30442435 -47.55206572 -46.90411365 -47.66737207
 -46.78769887 -47.5697712  -47.84881159 -47.6778286  -47.48167538
 -48.71381524 -45.33007157 -43.03623535 -43.35270739 -45.56309733]"
8,"[-48.86034014 -48.23857159 -47.63243194 -48.72355865  47.38531997
 -47.4429195   48.29649029  48.83638495  48.23812595  47.79563598
 -48.09595661 -45.35871424 -41.75739911 -40.56489305 -37.47682117
 -36.44980499 -38.31461918 -40.19904184 -39.10984556 -37.52635729
 -36.09991323 -37.26464963 -37.30594608 -36.33552859 -40.24521342
 -43.35259949 -46.359285   -47.339492   -45.24923451 -45.17815754
 -46.55047481 -45.07397474 -44.38979755 -42.25692919 -41.32471827
 -43.63059031 -44.29431545 -42.93041442 -41.65185284 -40.52623526
 -40.40588701 -40.05242473 -41.55164275 -39.80089895 -38.89375037
 -36.57928554 -35.45555131 -32.63562187 -27.90193067 -25.06973981
 -24.34258881 -26.3557171  -24.71553204 -23.12429455 -23.47320539
 -23.915303   -24.21771856 -21.4296688  -20.63022449 -24.62980022
 -28.32627374 -29.52789248 -28.43701885 -24.70601718 -21.51324261]"
9,"[-36.64137735 -35.8457586  -38.81645441 -35.17108646 -33.19739089
 -33.82429256 -33.19493861 -34.03136335 -33.76926332 -34.31808429
 -34.18330681 -33.92513044 -33.52619302 -33.74797751 -34.98912705
 -34.55065883 -33.27968952 -34.57096373 -33.78132856 -34.4310855
 -33.49872745 -33.58485163 -34.17428241 -33.74179775 -32.91331841
 -34.49965134 -32.49005434 -30.96071248 -32.4328671  -33.35737785
 -34.57851676 -35.54196977 -36.00790356 -38.09803354 -39.24697724
 -41.90447725 -47.37311771  45.21063527  43.65588776  42.77679329
  44.34958961  42.03698851  43.17190515  44.51320594  44.92254105
  44.83210084  47.01041492  42.26769931  45.7565135   47.54118708]"
