,0
0,"[ 7.61569   9.139466  8.619264  8.160252  7.95702   7.540232  6.894518
  7.120312  7.483218  7.330794 10.287634  7.822576]"
1,[6.26081  6.592106]
2,"[ 7.2993    7.973376  6.882048  8.28849   9.19851   9.222116  8.523622
 10.047398  6.487358]"
3,"[10.692706  8.550882  8.80527  10.057954  9.7382   10.966872 10.382638
 11.30246  11.537476 11.632248 11.917724 10.482688 11.024234 11.116686
 11.749582 11.123762 11.517988 10.722982 10.87906  11.511782 11.0751
 10.507164 12.025894 11.372118 10.006566 10.074832 11.346946 11.267138
 11.979552 11.55447  11.30043  11.189418 11.120456 10.81149  11.627956
 11.860478 11.526166 10.633314 10.867576 11.148354  9.389446 10.164442
 10.12825   9.648474 10.5531   10.679424 10.21351  10.427646  9.134594
  9.522904  8.841056  9.320658  9.921422 10.203592  9.182966  7.852562
  8.167212  8.479136  7.896294  8.829166 10.165544  9.203324 10.909568
 10.931666 11.585906 11.96308  11.47588  11.774696 11.586022 11.528138
 11.260062 12.039988 11.79894  11.31435  10.760334  9.390954  8.89633
  8.804226  9.003166  7.476606  9.406266]"
4,"[8.208044 9.498254 9.53085  9.597144 9.18024  9.37744  9.545872 9.337884
 9.202454 7.839744 6.298104 8.150798 8.357568 7.016956 7.176282 6.467406
 8.21396  9.331446 8.097554]"
5,"[ 7.447664  7.392796  8.525362  8.182176  8.26558   9.169162  9.020334
  8.529306  9.18517   8.323522  7.998316  7.311944  9.557646 10.393252
 10.440348 10.15319   6.410102]"
6,"[ 6.342126  8.441262  8.630806  9.643834 10.780402 10.937988 10.672464
  9.659436 11.001382 10.60327 ]"
7,[7.36919  9.078044]
8,"[ 8.353682  9.00131   8.22991   8.456922  9.56507   9.649692  9.52882
  9.647372  9.513566  9.877748  8.13972   9.14573   9.023756  9.398958
  8.932812  9.7846    9.177456  8.987274  9.87073   8.558132  9.39948
  9.531894  8.717168  9.403308  9.630436  9.156808  9.138364  9.241662
  9.75212   9.327502  9.668194  9.67121   9.35163   9.608396  9.573596
  8.738222  9.52505  10.126684  9.644356  9.013258  9.232904  9.566926
  8.940584  6.51311 ]"
9,"[6.51601  9.96556  8.562656 8.985476 7.25638  7.284452 7.257714 7.685928
 7.342916 7.120892]"
10,"[6.99944  7.787428 7.786732 8.985244 8.517938 6.800848 9.732806 8.635272
 9.399132 8.248876 7.61308  7.171758 6.675742 8.156018 6.598138]"
11,"[10.21496  10.39911  10.000476  8.850046  7.689118  7.427596  8.950734
  8.009626  9.518786  9.550454 10.158642 10.170764  8.898244  9.590358
  9.83535   9.147296 10.131672  9.552542  9.724164  9.945898  9.146832
 10.124422  9.298908  9.17386  10.625194 10.291636 10.020196 10.009582
 10.130106 10.402358 10.616668 10.37185  10.36518   8.737584 10.26861
  8.744834  9.89973   8.767976 10.64967   9.590416 10.272786  8.966858
  9.66048   8.326538 10.42724   9.470994  9.085816 10.182248  9.766736
 10.106152  8.122784  6.643494]"
12,"[ 9.404062  8.4912    7.875588  8.058114  8.729696  7.882896  8.151552
  8.818146  8.260998 11.233208 10.071468  9.65816   9.460728  8.64258
  7.858884  8.58922   9.072592 10.18219   7.703502  7.497428 10.490344
  8.401764  7.892408  9.600856  9.136682  8.623904  8.628428  7.67021
  8.382392  8.126844  8.94099   8.360178  8.956708  8.270626  8.977646
  8.562192  9.111858  8.581738  8.836764  7.688944  7.036328  8.594266
 10.373938 10.627746  9.58218  10.349462 10.156902 11.24881  10.058476
 10.28427  10.572066 10.54411  11.100446 10.10969  11.325254 10.828078
 10.758652 11.004282 10.751866  9.667556 10.720836 10.437738 11.103868
 11.361098 10.436984  9.870788 10.088984 10.393368  9.80055   9.157446
 11.030788  9.295138  9.00566   9.521512  9.091558  9.061456 10.82976
  8.299394  8.772674 10.683426 10.487386 10.451078 10.940598  9.797186
 10.351666 10.200228  9.837264  9.793648  8.552622  7.557052  8.241278
  9.182966 10.899476  9.766794  8.62228   8.662416 10.005058  9.223566
  8.46133   7.49244   7.446968  7.60148   8.324102  6.789654]"
13,[7.33004 6.16627]
14,[6.238886 7.235616 8.06722  7.00263  7.778496 8.819538 8.28037  6.794642]
15,"[ 6.71495   8.13247   6.399198  6.199446  6.188658  9.133086  8.28907
  7.249594  7.030528  8.927534  9.782338  9.03872   9.630842  8.317606
  9.260918  8.32271   6.771732  7.394942  9.212082  8.752664 11.52489
  9.05931  10.644972  9.81099  10.88718   9.800434 10.221166  9.477026
  9.400408  8.463186  9.359982 10.45885  10.548112 11.073012 10.876044
 10.336586 11.061992 10.53657  10.692184 11.089078 10.718284 10.74856
 10.556406  9.80055   9.61524  10.81178   9.228728 10.004246  9.631364
  9.678576  9.618256  9.971534  9.967996 10.532742 10.49017   9.860174
  9.766214  8.930724  9.547902  9.93714  10.461344 10.81671  11.17515
  7.15604   6.908206  8.24586   6.595876  9.110234  9.316366  9.482478
  8.453442  9.672544  8.551114  8.285184  8.699478  9.397276  8.675292
  8.003188  8.537252]"
16,"[ 6.10769   6.43597   7.864452  9.322572 10.372024 10.188164  9.55608
  8.920806  6.97363   8.33692   8.490504  6.10711 ]"
17,[8.563526 8.14465 ]
18,"[ 8.803472  8.95259   7.66702   8.893082  7.440472  9.57725  10.352362
  9.242822  9.080828  9.52041   9.134942]"
19,"[ 6.924968  7.978016  7.792474  8.00313   8.307456  7.139858  8.453152
 10.266406  9.521628  9.535316  9.050378  9.43747  10.042642 10.798382
  9.0538    9.606714  8.188324  8.696404  8.478208 10.475844  9.096488
  9.075492  8.155148  8.700348  6.964466  8.214308  8.285648  8.452224
  7.742362  8.104224  7.470226  8.772616  8.301946  7.625434  8.362382
  8.024184  8.432736  7.87901   7.797868  7.311364  8.483254  8.338544
  8.414408  8.493984  8.265174  8.645132  8.374968  8.187396  7.731052
  8.667114  8.140996  8.743442  8.544966  8.932058  8.523912  7.424812
  6.829268  8.048486  8.240466  8.674828  8.301714  8.085432  7.178834
  8.023836  8.322304  7.911548 10.606576  7.43908   8.152074 11.106072
  9.088194  7.72821   9.40615  11.19893  10.999062 11.312726 10.19089
 10.647698  9.704212 10.115432 10.221514 10.288156 10.767178  9.895902
  8.857992  7.410776  7.47011   9.015984  8.889892 10.641202  8.44828
  8.14407   8.914484  9.100664  9.612862  9.023292  8.658414  9.050958
  8.744486  7.744566  7.627232 10.515574 11.423216 10.539644  9.79649
 10.064972 10.326262 10.315242 11.43905   9.944506 10.174882 10.7358
 11.612296 11.70498  12.221238 12.691328 12.091086 12.660066 12.558682
 12.963928 11.803754 11.82417  12.227096 11.685782 12.553346 11.180486
 12.115272 11.04233  12.14839  11.559284 12.828846 11.275722 12.441986
 11.976652 10.88283  12.882032 10.005696  9.164406  8.341154  9.468732
  8.644204  9.68136   9.582296  9.711578  9.219332  9.124734  9.306738
  9.817022  7.004544  9.220318  9.194972  8.559698  8.754578  8.15654
  8.638172  9.423608  9.04945   9.433816  9.402438]"
20,[6.074398 7.405498]
21,"[6.279776 7.299126 8.873188 9.19445  6.931522 8.031318 9.693308 8.726506
 8.90445  7.439718]"
22,"[ 6.57024   7.983816  8.322478  7.70124   7.776466  9.211386 10.067814
 10.181494  9.413632 10.155568  9.907908  8.17046   7.910156  9.659958
  9.008328]"
23,"[ 8.167212  6.694244  8.94418   8.79396   7.262876  8.74669   8.805792
  8.886644  8.936698  8.819886  9.05351   9.800086  9.775204  9.702762
 10.127612 10.104702  9.990848  9.428712  9.985686 10.271858  9.776306
  8.985244  8.869476  9.049102  9.195204  9.162956  6.574996  6.966902
  9.77068   8.853642  9.103738  7.824374  8.556914  8.88908   7.490816
  7.29205  10.962986 10.501596 11.662814 11.241676 10.9562   10.616436
 11.696222  8.173186  8.06954   9.007748  8.862226  8.130034  8.676974
  8.791176  8.096568  8.522114  9.043766  9.56159  10.23091   9.76285
 10.275918 10.263912 10.116592 10.845246 10.505656 10.314836  9.60683
  9.602364 10.335948  9.96295   9.04307  10.182944  9.390026  9.802348
  9.703922  9.429524  9.259062  9.484682  8.126612  7.378876  7.742826
  6.421238  6.283082]"
24,[9.228902 9.511884 9.645052 9.152632 7.937764]
25,"[ 9.107044 10.3327    9.670514 10.165834  9.976464 10.825062 10.340878
 10.085388 10.647118  7.064226  6.96319   7.901224  8.147724  8.9668
  9.291774  6.906234  8.403446  9.325936  9.106116  8.753882  9.124038
  9.392404  9.367348  9.400176  9.202918  9.855244 10.044614  8.487836
  8.952938  8.174346  7.474634  8.542762  8.86153   8.74495   9.027178
  8.055156  8.816522  9.49663   9.791676  9.269676 10.269654 10.518242
 10.699492  8.24354   8.357974 10.049196 10.281834 10.36982  10.510122
 10.242568 10.34923   9.254364 10.742818  8.732654  8.244642  9.651548
  9.076478  7.75199   8.50135   9.670514 10.340936 10.75088  10.996278
  9.407774  8.598558 10.576184  9.552832 10.221804  9.885636  9.81331
  9.932094  9.48967 ]"
26,[6.076776 7.361708]
27,"[ 8.167328  8.7754    9.566288  9.690582  8.61358   7.950234  7.73836
 11.187504 10.216584  9.506838 10.39244  11.396768 11.936922 11.261222
 10.605648 10.502698  9.688494  8.047732  8.5869    9.048     8.70522
  8.30995   8.806662  8.342024  9.66367   7.331142  8.744138  7.390476
  8.85921   8.653194  8.166226  7.993212  7.785282  8.764264  6.747952
  8.268596  9.123574  8.27863   8.459068  9.280696  8.275556  8.83862
  9.172352  9.480332  8.834792  8.416902  8.00516   8.936582 10.330554
 10.707148 10.89037  10.773674 10.814622 10.678844 11.220332  9.043186
  7.656116  8.598152  8.412378  9.036748  8.168198  9.268922 10.686384
  9.045158  8.804052  8.593976  8.823888  8.293768  7.90424   8.49265
  8.74205   9.040982  9.259584  8.837228  8.704872  9.143584  9.118702
  8.586436  9.48677   6.475062  6.40291   6.650222]"
28,"[ 8.561554  7.701994  8.30647   9.189114  8.518982  8.129976  7.76649
  8.939018  8.864546  9.869048  9.725556  9.779496  9.226408  9.453188
 10.058824  9.908372  9.53462   8.851902  9.001078  7.434962  8.397124
  9.371292  7.538434  7.675662  8.304208  7.90975   8.749358  7.0905
  7.63338   8.211408  8.880322  8.61648   8.613348  8.749416  8.242496
  9.015404  8.821626  9.181748  9.200018  8.875044  9.117426  8.815246
  9.61669  10.7242   10.830166 10.164964 10.7097    8.998294  9.559386
 10.157888 10.13579   8.965872  6.95942   7.580078  9.06105   9.60335
 10.14217   9.606888  8.18873   6.800964  8.776038  7.764286  8.916224
  8.827948 10.22221  10.061898  9.862668  9.308304  6.888544  8.921096
  8.959724  9.55115   9.347396  8.995974  7.967808  6.355292  8.020588
  6.74569   8.915818  6.927752  8.634228  8.584116  7.64092   7.76649
  8.256822  6.565948  7.639992  7.535418  8.454196  7.137306  9.019116
  9.983076 10.174476 10.591728 10.667824 10.631516 10.821582  9.9035
 10.303758 10.54179  10.444582 10.291288 10.095016 10.33589  10.736438
 11.072432 10.926098 10.81323  11.08148  10.184742 10.035914 11.111756
  9.967648 10.490576 10.771122  9.816442  9.957962  8.964016 10.36518
  9.844572 10.1297   10.302018 10.110154  8.909264  9.444604  9.689074
  9.705894 10.900926  9.349484 10.59631  10.113054  9.749858 10.258634
 11.00811  10.672    10.164268 10.60675  10.971802 10.559364 10.207652
 10.343314  9.736518 10.060042  8.464578  6.731074  6.317476  8.364238
  7.100128]"
29,"[8.136936 8.3665   8.07331  6.528886 6.832284 6.93419  7.618938 8.63446
 7.752802 7.54203  8.76525  9.309812 9.229482 9.448316 9.519598 8.686602
 9.44704  7.89409 ]"
30,"[ 6.773704  6.751664  6.138488  8.157178  9.411718  9.677184  8.378216
 11.546118 11.583528  9.768302  9.989108  8.466956  8.147028  8.301018
  9.654506  9.763372  9.729674  9.79156   9.011924  9.437296  9.920958
  9.27797   8.780968  9.200192  9.896192  9.503416  9.507882  9.455392
  9.511304  9.38759   9.364912  8.936176  9.193928  8.99899   9.238936
  9.298038  9.312712  9.667092  9.948276  9.367406  9.477838  9.820966
  9.853678  9.795562 10.844956 10.827382 10.639694 10.68592  10.872854
 10.922618 10.710106 10.682034 11.08148  10.223544  9.905182 10.114736
 10.608316 10.726984 10.630994 10.22192  10.594222 10.638302 10.59341
 10.814332 10.571022 10.293086  9.891842 10.926214 11.102302 10.984968
 10.190658 10.889964 10.130976 10.233346 10.327654 10.919022  9.858782
  9.886796 10.353    10.479672 10.44899  10.538948 11.18646  10.623628
 10.47944  11.235064 10.699608 10.645668 11.079102 10.364658 10.695548
 11.06872  10.669042 10.474162 11.103462 10.503916 10.036436  9.98702
  9.974376  9.58073   8.228866  8.414814  7.584196  9.440776 10.06503
 10.327828  8.465912  8.84703  10.225226 10.659762  9.523948  9.405454
 10.2631    9.34003   9.856636 10.5763   10.94083  10.283342 10.51511
 10.842172  9.3902   10.478744 10.56441   9.315322  9.791444  8.808112
  7.036444  9.238704  8.521012  8.774878  8.839838 10.128424  7.708954
  8.571704  8.145288  7.375512  7.33555  10.695664 10.410594  7.913346
  9.716276 10.354798 10.554608  9.66628   9.100432  7.905748  7.990196
  7.444822  8.568514  8.500074  8.02981   8.158106  9.280522  9.16806
  9.973854 10.44203   7.967112  7.454914  9.248042  8.644552  8.007364]"
31,"[ 6.750156  9.5642    7.534896 10.463896 12.577416 10.637722 12.27889
 11.455638 11.503778 11.942896 11.668498 10.206782  8.974166  6.909714]"
32,"[ 7.278246  8.141808  7.85291   6.223342  8.074238  8.73248   8.747328
  9.14573   9.67121  10.911424 10.184162 10.924126  7.390534  7.321398
  8.450716 11.30188  10.43072  11.87057  11.469326 11.793024 11.761066
 11.11251  11.562706 11.169872 12.091724 10.955156  9.991196 10.264376
 11.354544 12.030824 10.840838  8.15306   8.684688 11.393578 10.230794
  9.002992  9.11267   8.173592  9.45603  10.761262  9.536476 10.144142
 10.525086  9.472908  8.37694   9.697252  7.89351 ]"
33,[6.368168 9.433874 9.695164 9.418098 6.592048]
34,"[7.856042 6.356104 7.159056 9.551904 9.48619  9.746784 8.453268 8.858746
 8.71421  9.226756 9.53317  9.567506 8.067626 8.669144 8.026446 8.223588
 8.947254]"
35,[ 7.440936  8.041526  8.487314  7.502822 10.352362  6.90171 ]
36,"[6.839012 7.97239  8.921676 8.147492 8.427052 8.254618 7.591214 9.273852
 9.332722 8.92156  8.63504  7.56175  7.875646 7.17315 ]"
37,"[ 9.07062   9.419142  8.539514  8.843144  9.250304  9.221594  9.468848
  8.174346  8.054112  9.632582  8.58893   8.380826  9.415778  9.514262
  7.703676  9.444198  9.285974  9.141902  8.449788  8.669608  7.469762
  8.601806  8.011656  9.14341   8.630806  7.858942  8.191166  8.98478
  9.120036  8.459126  7.51042   8.115302  8.784042  9.184126  9.075376
 11.303852 10.644102 11.198582 10.691314  9.416474  9.074332  9.431322
 10.16769   9.301402  8.236058  8.824758  8.664446  8.760378  9.364622
 10.925402  9.415836 10.527754 10.448526  9.639716  9.829608 11.697846
  9.755542 10.954808 11.125328 10.459894 11.384298  9.573886  9.56768
 11.083626 12.433808 10.35126   9.067546  9.167306  8.983098  8.809736
  7.680302  7.964386  8.271554  8.581622  9.371292  9.824504  7.898846
  9.236848  8.039612  8.237392  9.24607   9.882214]"
