,0
0,[-9.07236  -9.398088 -8.79454  -9.746146 -6.612754]
1,"[ -9.85043  -10.033072  -9.804378 -10.111778  -9.81534   -9.917188
  -9.711636  -9.6889   -10.018572  -9.557588  -9.232672  -9.755832
 -10.419236  -9.705024 -10.170184  -9.567216 -10.290708  -9.494136
 -10.037016  -9.83042   -9.752584  -9.661524  -9.854026 -10.288852
  -9.762966 -10.316344  -9.58073  -10.069554  -9.916492  -9.828796
 -10.115606  -9.686522 -10.306774  -9.515074 -10.063406  -9.919972
  -9.7846   -10.150638  -9.571856 -10.268668  -9.60016   -9.887608
  -9.570406 -10.283226  -9.740056 -10.107254  -9.601668 -10.082894
  -9.50939  -10.106152  -9.777756 -10.160208  -9.935632 -10.10128
  -9.524354  -9.088542  -9.066908  -9.883838  -9.922292  -9.981858
  -9.261904  -9.601494  -9.788718  -9.86116   -9.51606   -9.922118
  -9.830072  -9.949436  -9.783846 -10.099308  -9.68252   -9.637976
 -10.209972  -9.845442 -10.12477   -9.385212  -9.930122  -9.749046
 -10.263332  -9.592272 -10.181842 -10.14362   -9.761748  -9.218636
  -9.81331  -10.213974  -9.606018  -9.71616   -9.835292  -9.91597
  -9.506258  -9.280638  -9.974956  -9.435382  -9.7788    -9.648416
  -9.40702   -9.8136    -9.41949  -10.4864    -9.642906  -9.885462
  -9.83042  -10.281428  -9.064762 -10.014396  -9.701486  -9.909532
 -10.130396 -10.10708   -9.761458  -9.929426 -10.017238  -9.790864
  -9.948856  -9.791966 -10.215946 -10.381362  -9.885172 -10.391512
  -9.821082 -10.17378  -10.380376 -10.031564 -10.052966  -9.61002
  -9.845384  -9.765924  -9.988296  -9.53926  -10.447946  -9.536012
  -9.758732  -9.943984 -10.033652  -9.497674  -9.898918  -9.673762
  -9.778336  -9.688668  -9.649344  -9.448026  -9.514436  -9.269212
 -10.073208 -10.147274  -9.554224 -10.018688  -9.50591  -10.221514
  -9.838714 -10.3588    -9.351398 -10.03487   -9.747306  -9.971302
  -9.916144  -9.888884  -9.824736  -9.728514 -10.128308  -9.21388
  -9.952394  -9.390896  -9.37918  -10.164094  -9.835118  -9.902224
  -9.773928  -9.56768  -10.441102  -9.738084  -9.543436  -9.876994
  -9.9064   -10.16885  -10.124886  -9.892886  -9.979712  -9.852402
  -9.900252 -10.14768   -9.877864 -10.146404  -9.721902  -9.996358
  -9.997054  -9.52041   -9.36439   -9.718422  -9.948218  -9.833436
  -9.969794  -9.870788  -9.701834  -9.83071   -9.75618   -9.790806
 -10.102962  -9.722076  -9.87421   -9.959122  -9.68832   -9.861508
  -9.57406   -9.919682  -9.794982  -9.790516 -10.036784  -9.970432
  -9.820618 -10.112184 -10.006856  -9.622374 -10.062362  -9.97368
  -9.776886 -10.036494  -9.672486 -10.087998  -9.751366  -9.96846
  -9.80026   -9.696382  -9.846196  -9.673066 -10.154176 -10.020022
  -9.85565  -10.018166  -9.594012 -10.571022  -9.750264  -9.893292
  -9.552832  -9.415952 -10.285836  -9.291484 -10.36025   -9.578584
 -10.249122  -9.484276  -9.934066  -9.689364  -9.589024  -9.807742
  -9.935806 -10.149536  -9.999606  -9.388054 -10.195762  -9.816036
  -9.655724  -9.317874  -9.6628    -9.591112  -9.918116  -9.58073
  -9.700036  -9.521048  -9.790342  -9.576902  -9.961268  -9.468964
  -9.526094  -9.639426 -10.031796  -9.867656  -9.783324  -9.59842
 -10.003724  -9.628986  -9.597086 -10.310138  -9.598942 -10.034754
  -9.755832 -10.106616  -9.881924 -10.186076 -10.096582  -9.78025
  -9.683042  -9.617792  -9.836452  -9.740694 -10.021994  -9.836336
 -10.129004  -9.847588  -9.490366 -10.151624  -9.933486  -9.843528
  -9.714768  -9.912606 -10.286532  -9.784658  -9.91162   -9.947406
  -9.654738 -10.1616    -9.729674  -9.635656  -9.934704  -9.111916
 -10.274816  -9.727644 -10.11085  -10.213684  -9.824794  -9.788022
 -10.091536 -10.468884  -9.834132  -9.687508  -9.795098 -10.34198
 -10.091536  -9.706532  -9.667962  -9.66686   -9.769056 -10.006392
  -9.62162  -10.145128  -9.860058 -10.085562  -9.661466 -10.25237
  -9.425406  -9.651896  -9.714246 -10.12651   -9.714594  -9.831754
 -10.227952  -9.825432  -9.988006 -10.062536  -9.756586  -9.714536
  -9.574466  -9.822474  -9.924902  -9.540594  -9.897236 -10.157308
  -9.979132  -9.802464 -10.095248  -9.93598  -10.03603   -9.815108
  -9.928092  -9.89074  -10.132658  -9.679098  -9.041794  -9.539144
  -9.90002   -9.850604  -9.790342  -9.5265   -10.14507   -9.463106
 -10.195936  -9.737156 -10.210842 -10.017412  -9.791038  -9.986846
  -9.958194  -9.642848  -9.333998  -9.471458  -9.715812  -9.906864
  -9.53752   -9.7759    -9.66454   -9.800782 -10.528566  -9.495586
  -9.924612 -10.021414  -9.586646  -9.780598  -9.60335   -9.979132
  -9.467108  -9.663032  -9.90408  -10.024604  -9.554456  -9.298792
  -9.35598   -9.84144   -9.563214  -9.54941 ]"
2,"[ -9.175426  -8.89198   -9.939692 -12.592786 -10.027562 -10.659414
 -12.607866 -12.256734 -12.072874  -9.89248   -9.604452  -9.541638
  -9.65874   -9.710418  -9.544596  -9.567564  -9.326052  -9.359576
  -8.926954  -8.179044 -10.427704 -12.043932 -10.421846 -11.593794
  -8.991566  -9.074622  -9.201236  -8.890066  -9.580672  -9.490308
 -10.1268   -10.63604   -9.274316  -9.049624 -10.015904 -10.78452
 -10.612144  -9.068358]"
3,[-8.724128 -7.416576 -5.655058]
4,"[-12.029896 -10.872216 -11.29579  -11.52228  -11.99643  -11.597506
 -11.678938 -10.61777  -11.012518 -11.147774 -11.085946 -11.702138
 -11.97758   -8.799238 -11.47153  -11.867322 -11.775624 -11.34596
 -10.67693   -9.31915  -10.092    -10.945702 -10.577692 -10.391454
 -11.40773  -11.585268 -10.369588 -11.937676 -11.836118 -11.448272
 -11.329256 -10.085446 -12.025604 -11.096444 -11.088788 -11.65249
 -11.492932 -10.966988 -11.792096 -10.401894 -11.517872 -11.12788
 -11.749814 -11.602436 -12.133136 -11.339116 -11.334244 -12.492504
 -10.878886 -10.887876 -12.259054 -11.902006 -12.341588 -11.80271
 -11.325312 -11.830956 -11.194116 -11.444618 -11.718146 -11.280246
 -10.84165   -9.691626  -9.83738  -11.701384 -11.143134 -10.683716
  -9.87479   -9.687856  -9.326226  -6.155366]"
5,"[-10.503452 -10.418946  -9.735996 -10.061724  -9.884186  -9.595462
 -10.501538 -10.039858 -10.347838 -10.205332  -9.795678 -10.442436
 -10.037016  -9.690292  -9.770274  -9.651084 -10.162122 -10.741078
 -10.452876 -10.116128 -10.018224 -10.292274 -10.609012  -9.836162
  -9.95918   -9.767954 -10.493186 -10.29848  -10.267856 -10.198314
 -10.336006 -10.440928 -10.338094 -10.022632 -10.019964  -9.865046
  -9.599     -9.70137   -9.744928  -9.404352 -10.240654 -10.460764
 -10.261882 -10.096408  -9.949494 -10.37214  -10.124886 -10.481818
  -9.912838  -9.625216 -10.159338 -10.225864  -9.320136 -10.174534
 -10.304744 -10.522766 -10.250224 -10.122798  -9.897874  -9.912026
 -10.175868 -10.013816  -9.88813  -10.612202  -9.81215  -10.238624
 -10.595208  -9.895902 -10.076282 -10.59921  -10.339544 -10.303584
 -10.270756 -10.434664 -10.030404  -9.595694 -10.141416 -10.315184
 -10.181958 -10.238798  -9.713724 -10.160962 -10.398588 -10.274584
 -10.286126 -10.004246 -10.294536 -10.256604 -10.557044 -10.394064
  -9.942012 -10.046064 -10.204462 -10.089506 -10.000592  -9.782106
  -9.889754 -10.238334 -10.181958 -10.491852 -10.51163  -10.22424
  -9.683158 -10.09722  -10.417902 -10.637606 -10.34053  -10.013062
  -9.859826 -10.073498 -10.457342  -9.846138 -10.141242 -10.158584
 -10.192746 -10.42434  -10.203244 -10.308746 -10.209914 -10.428226
 -10.39592  -10.31008   -9.95454   -9.230932  -9.939866  -9.717378
  -9.172758  -9.272808 -10.325276  -9.550396  -9.917304 -10.19524
 -10.090434 -10.075702  -9.750496  -9.908198 -10.069612  -9.3061
 -10.061666 -10.39824  -10.440348 -10.295232 -10.634242 -10.473814
 -10.1703   -10.39882  -10.567774 -10.112126 -10.078022  -9.915854
  -9.858028 -10.586566  -9.951872  -9.462874 -10.041424 -10.454384
 -10.009176  -9.97194   -9.845674 -10.000012 -10.42811  -10.385596
 -10.03516  -10.079298 -10.415002 -10.239494 -10.030462 -10.199706
  -9.073288 -10.638476 -10.26571   -9.778278 -10.444466 -10.53686
  -9.546684 -10.153944 -10.425442 -10.490924 -10.450904  -9.891494
 -10.003898 -10.324    -10.54614  -10.229054 -10.290128 -10.19698
 -10.098032 -10.092116 -10.388032 -10.610346 -10.268958  -9.9499
 -10.163108 -10.587552 -10.211364 -10.263042 -10.257416  -9.910634
  -9.67759   -9.971766 -10.18161  -10.444814 -10.166182 -10.184046
 -10.305904  -9.724744  -9.84753  -10.477236  -9.876066 -10.296218
 -10.422078  -9.936038 -10.080052 -10.171402  -9.918696 -10.10389
 -10.36518   -9.679736 -10.580128  -9.920088 -10.459024 -10.26281
 -10.403402 -10.083358 -10.434432 -10.397834 -10.21438  -10.199416
 -10.30805  -10.631574 -10.3327   -10.330786 -10.707728 -10.042526
  -9.93453  -10.082082 -10.481064  -9.937836  -9.943926  -9.355516
  -9.93221   -9.703458  -9.794808  -9.590184  -9.642152  -9.995198
 -10.376142 -10.246048 -10.050878 -10.285952 -10.208348 -10.096872
 -10.353348 -10.65228  -10.471668 -10.15203  -10.323652  -9.7991
 -10.187004 -10.555188  -9.895786 -10.064508 -10.380956 -10.086026
  -9.7875    -9.824968 -10.223428  -9.832334  -9.940562 -10.230678
 -10.39505   -9.997866 -10.07924  -10.559364  -9.88494   -9.69499
  -9.86667   -9.543378  -9.26782   -9.675966  -9.765576  -9.400756
  -9.646502  -9.842658 -10.616378 -10.263158 -10.212292 -10.351782
 -10.324986 -10.135326 -10.376606 -10.159222 -10.144258  -9.799796
  -9.709316 -10.000128 -10.412972 -10.487618  -9.917304 -10.126046
 -10.49017  -10.383566  -9.677184  -9.56246   -9.82926   -9.768476
 -10.294188  -9.90408  -10.287924 -10.422426  -9.975768 -10.441044
 -10.197154  -9.829724 -10.17436  -10.157076 -10.306484 -10.186018
  -9.89741  -10.290824 -10.288214 -10.457284 -10.361004  -9.824156
  -9.988238 -10.499914 -10.47045  -10.05343   -9.762618 -10.212176
 -10.475438  -9.843006  -9.999664  -9.780076  -9.899498 -10.30834
 -10.240364 -10.356422 -10.366746 -10.245758 -10.591496 -10.048848
  -9.864408  -9.733502 -10.162586  -9.788022 -10.016194 -10.364658
 -10.178942 -10.018978 -10.204056 -10.729304 -10.256952 -10.261418
 -10.416046 -10.244076 -10.00616   -9.806524 -10.244656  -9.990036
 -10.213974 -10.257416 -10.07315   -9.742144 -10.006914 -10.270698
 -10.50177  -10.397254  -9.81679  -10.32748  -10.50525  -10.110966
 -10.098496 -10.171866 -10.439594 -10.243554 -10.281138 -10.27093
 -10.374924  -9.908952 -10.051052  -9.004384  -9.8136    -9.86377
  -9.00711   -9.944622  -9.973506 -10.429096  -9.901702  -9.800028
 -10.123378 -10.274468 -10.1413   -10.12042  -10.485936 -10.226154
 -10.125466 -10.219774 -10.185902 -10.273076]"
6,"[-10.02066   -9.854954 -10.818856 -10.78655  -10.828252 -10.544458
 -10.898084 -10.657442 -10.546024 -10.268378 -10.643638 -10.61835
 -10.804588 -10.82512  -10.242336  -9.988354 -10.579838 -11.272648
  -9.833378 -10.86514  -10.590626  -9.701196 -10.469522 -10.895242
 -10.508208 -10.727912 -10.884454 -11.205368 -10.700362 -10.414364
  -9.96034   -8.796048 -10.864328  -8.13827   -9.433642  -9.930238
 -10.133412 -10.027852  -9.250826 -10.037364  -9.87247   -9.67324
  -9.818182 -10.063986  -9.79475  -10.106732  -9.892306  -9.046202
 -10.265072 -10.66562   -9.737736 -10.775762 -10.259504 -10.521838
  -9.79852  -11.329952  -9.61698  -10.520968  -9.926236  -9.858724
  -8.691474 -10.305672  -9.487582  -9.523542  -9.620112 -10.285662
 -10.14652  -10.484892 -10.633952  -9.369958  -9.421056  -9.59581
 -10.101512  -9.920494  -9.963182 -10.642304 -10.835676 -10.90052
 -10.075064 -10.88225  -10.919602 -10.243554 -10.418598 -10.181436
 -10.860442 -10.541326 -10.49945   -9.944158  -9.888652 -10.515168
  -9.785412  -9.495528 -10.04125  -10.22917   -9.767548 -10.098554
 -10.048384  -9.033732  -9.458988  -9.27362   -9.637164 -10.065146
 -10.749488 -10.939612 -10.792698 -10.440348  -9.896192  -9.451506
 -10.306716  -9.499762  -5.581282]"
7,[-8.384132 -9.137726 -8.11507  -7.94281  -8.464752 -5.085498]
8,"[ -5.802436  -5.081554  -7.711912  -6.455748  -7.641442  -8.471654
  -8.776212  -6.893416  -7.722352  -9.92641   -7.657914  -8.00864
  -8.50425   -9.15124   -9.542102  -7.97558  -11.307912 -10.713876
 -10.039162 -10.603444  -9.705488 -12.081806  -8.76061  -10.63865
 -11.436092 -12.344546 -11.289468 -11.29695  -12.372386 -11.30739
 -11.770172 -11.469616 -12.358118 -11.787166 -12.480092 -12.157902
 -12.031694 -11.236282 -12.350404 -11.317888 -12.088418 -11.773072
 -11.437542 -11.45413  -12.458458 -11.432612 -12.217816 -10.556464
 -11.688566  -8.979386  -9.376686  -8.870288  -9.762618  -6.037162
  -5.124648]"
9,"[-11.434236 -10.730116 -11.213894  -9.422506 -11.653824 -12.118752
 -11.710432 -10.811432 -10.86659  -11.222826 -11.611194 -10.836488
 -11.21778  -10.97911  -11.533126 -11.446764  -9.495238 -11.32624
 -10.813346 -11.232802 -11.495542 -10.824714  -9.57377  -11.102998
 -12.582462 -12.897054 -12.638316 -12.365252 -11.945854 -11.957918
 -12.88093  -12.566976 -12.182726 -12.543254 -11.6232   -11.109552
 -10.719154 -11.637178 -10.538484 -13.273068 -13.013866 -10.989028
  -9.237138  -7.125648  -5.863452  -6.454704  -7.356894  -7.63048
  -8.816     -6.972702  -6.387482  -7.356198  -6.973398  -6.123524
  -5.442198  -8.43726   -7.55479   -9.767142 -10.331772 -10.675886
  -8.763742  -9.91539   -9.88552  -10.295522  -9.999838  -9.61611
  -9.111626  -8.281008  -8.35316   -7.879764  -8.236754  -9.688262
 -10.005464 -11.748886 -10.236768  -8.333846  -8.854338  -8.490562
  -9.789646 -10.90835   -6.918066]"
10,"[-12.60659  -13.186996 -12.361714 -12.784766 -12.108486 -12.070844
 -11.67917  -10.256778  -9.787326 -10.647814 -11.533938 -10.618292
 -10.452238 -10.4545   -10.283864 -10.582622  -9.334752 -10.846232
 -10.567774 -10.821408 -11.820632 -12.316648 -12.331786 -12.27889
 -11.57477  -11.452448  -8.741064  -8.052082  -7.659944  -6.506614
  -6.069236  -7.0093    -9.807916  -6.474888  -7.669978  -8.674654
  -7.792416  -9.158432  -9.166958  -8.757768  -9.04713   -9.400814
  -9.549236 -10.09374   -9.848458  -9.25274   -7.843456  -9.08077
  -9.283248 -10.599036  -9.887608 -10.057548  -9.286844  -8.465912
  -8.936698  -9.710128  -9.281218  -9.858028  -8.993248  -9.711288
  -6.229664  -5.787762  -7.191884  -8.702958  -8.408318  -7.725484
  -6.698362  -5.344352  -5.904748  -7.436818  -8.19946   -9.64105
 -10.426312  -9.746436  -8.751504  -8.453964  -9.989688 -10.107138
 -10.053836  -9.165218 -10.261534  -9.324834  -9.82433  -10.176332
 -10.006102 -10.741194 -10.576416 -10.17117   -9.584036  -9.420824
  -8.690372  -9.33858   -9.949494  -9.535316  -8.080734  -8.200736
  -8.770876  -8.075862  -9.899034  -7.933008  -7.078088  -6.436028
  -6.762046  -8.790596  -7.50752   -9.319672  -9.78257   -8.681266
 -10.494578  -9.034486  -9.920204  -9.245664  -9.482362 -10.244424
  -9.381848  -9.767316  -8.903116 -10.122218  -8.249108  -8.597804
 -10.375156  -9.646096 -10.676466 -10.215366 -10.36373   -9.796084
  -8.984316  -9.899324  -9.533982 -10.428574  -9.604626  -9.084134
  -9.022132  -8.995452  -9.338986 -10.193036 -10.912468 -10.435708
  -9.616284 -10.504496 -10.70651  -10.43217  -10.659124 -10.576358
 -10.465578 -10.945006  -9.99398   -9.45139  -10.440464  -9.533866
  -9.480332 -11.272126  -9.719698 -10.066538  -9.911214 -10.33299
  -8.725404  -9.514378 -10.32951  -10.849712 -10.290476 -11.19922
 -10.896634 -11.074288 -10.646422 -10.273598  -9.443154 -10.749662
 -10.64329  -10.243554  -9.955062  -9.576844 -10.024836 -10.436984
 -10.232186 -10.535178 -11.135072  -9.991718 -10.413088  -9.5845
  -8.670536  -9.171018  -8.167734  -6.81181   -6.490026  -8.720648
  -8.697332  -8.503322  -9.549178  -9.78924   -7.864046  -9.2829
  -9.681128  -9.409108 -10.566498 -10.27006   -9.4627    -9.037734
  -7.488322  -7.714174  -8.703712  -9.703748  -7.651128  -7.362926
  -8.546648 -10.1239   -10.08069  -10.30979  -10.453224 -10.294072
  -9.359054 -10.66185  -10.152958 -10.896634  -9.541348  -8.637418]"
11,"[ -9.59117  -10.102266 -10.744094 -11.790936  -8.149464  -6.432432
  -7.450796  -8.690836  -9.25738   -9.642964  -9.218462  -9.682694
  -8.66665   -8.869186  -9.437006  -9.048812  -9.213474  -8.84848
  -9.99688   -9.035124  -8.37665   -8.266566  -8.918544  -8.163036
  -9.557588 -10.263738  -9.513392  -8.3491    -8.44741   -9.318222
  -8.040192  -8.289128  -8.825512  -8.878524  -9.029266  -8.598152
  -7.49679   -8.503728  -7.3718    -8.270974  -9.125024  -8.802718
  -7.72212   -8.664852  -9.548424  -9.549468  -8.730334  -9.003108
  -8.432098  -7.860102  -9.229946 -11.430698  -9.064878  -9.018536
  -9.197988  -8.880264  -8.682078  -9.152748  -8.559408  -8.346722
  -8.855266  -8.28095   -9.418272  -8.754172  -9.086802  -9.0219
  -8.690662  -9.253088  -9.65236   -9.794866  -9.886738  -9.84811
 -10.027736  -9.875428  -9.735532  -9.609092  -9.427262  -8.68376
  -8.397298  -9.096488  -9.734024  -9.84782  -10.246048 -10.072802
  -9.518206  -9.439616  -9.698006  -9.57406   -9.480912  -8.32735
  -9.552658  -9.992646  -9.32089   -9.198452  -8.749416  -9.343278
  -8.478034  -9.491642 -10.101454  -9.586066  -9.73066   -9.49112
  -9.945434 -10.037828  -9.426508  -9.737098  -9.274954 -10.251384
  -9.893698 -10.692996 -10.48408  -10.51308   -9.90872   -7.35295
 -10.393078  -9.218288  -9.061746  -9.936096 -10.747922 -10.246802
 -10.341748 -10.207478 -10.599094  -9.969968 -10.235782 -10.882018
  -9.39629   -9.962486  -9.775146  -8.28414   -8.50686   -8.68985
  -8.604242  -9.401046  -9.48648   -9.119804  -7.755934  -8.28385
  -6.569428]"
12,"[ -9.820154  -9.26695   -8.494506  -9.018362  -9.235572  -9.212546
  -9.242358  -9.925076  -9.39107   -9.939692  -9.51403   -9.436716
  -8.65708   -8.193718  -7.934226  -9.64714   -8.592004  -9.319904
  -8.90416   -8.976834  -9.180182  -9.330228 -10.01283   -9.993168
  -9.057628  -7.737606  -5.386692]"
13,"[-9.037618 -8.72233  -9.316772 -8.690024 -9.3177   -9.032108 -9.291832
 -9.826128 -8.549026 -8.87255  -8.830268 -9.703806 -9.066966 -8.394746
 -7.541044 -5.287222]"
