,0
0,"[-43.73556374 -42.07878902 -41.87331514 -43.70943944 -41.4688102
 -37.72073837 -37.58227175 -36.89670506 -37.30249464 -37.81399741
 -37.3423087  -38.00581094 -37.99727936 -39.95148274 -41.53074754
 -45.40817583 -48.31926007 -47.33970677 -47.68172522 -47.83506818
  47.45055236  45.99900636  46.05264746  46.87109112  46.41313139
  46.81843065  46.66633311  46.55385349  46.8626576   46.58660693
  46.35468514  46.87981883  46.07098547  46.53718258  46.35468514
  46.63534483  46.13021623  46.42548748  45.15545827  45.68137648
  43.74196117  43.25262091  45.61439864  49.03124889 -44.97659537
 -41.30823991 -38.28774546 -38.76767157 -37.29523789 -36.22349446]"
1,"[-36.71567858 -37.26336703 -37.02497301 -36.98761056 -36.8900367
 -36.39510677 -35.92430064 -35.14194461 -33.25273816 -28.4122902
 -25.47369895 -24.58278587 -22.55285733 -20.89282687 -19.93277854
 -19.8318705  -19.5649398  -21.7280395  -22.51225876 -23.42160791
 -24.45226245 -26.64321237 -28.76963607 -30.30031987 -31.48434679
 -30.10546634 -30.83643675 -31.28341328 -31.80060377 -29.85824654
 -30.85781474 -31.3526466  -28.90633754 -28.55919034 -30.92675386
 -30.81760842 -30.47732572 -30.99941942 -29.30320328 -29.677122
 -30.7541609  -32.21678816 -28.51408082 -29.62024478 -33.414446
 -31.80756633 -29.61396867 -28.40189539 -28.23940305 -31.67429711
 -31.00981422 -28.20360962 -28.3556091  -29.43353058 -29.54395084
 -29.15238057 -27.92422477 -25.61657846 -26.70018766 -27.23767744
 -26.40981962 -23.61028339]"
2,"[-43.88606284 -41.790902   -45.76131475  48.17171635  48.36931567
  48.42305484  44.13970949  38.0221717 ]"
3,"[-40.22541523 -44.73566148 -44.78162417 -44.44822556 -45.60288226
 -44.32067348 -43.53751332 -42.94344051 -45.40864654 -44.49520811
 -43.94682341 -44.56934463 -44.28166355 -44.51857681 -45.17709739
 -43.57417952 -43.87113747 -43.99630659 -46.49843378 -47.32801752
 -44.29567692 -41.50419176 -39.07127827 -38.69196602 -38.2679365
 -38.70265501 -40.93136946]"
4,"[-45.99186364 -45.64375541 -45.94961759 -45.48141997 -47.11956249
 -46.7689046  -44.27971207 -43.57438545 -44.48485253 -42.56773702
 -39.9087856  -40.70294856 -41.65700517 -43.04656481 -42.6790791
 -42.32952932 -42.75805999 -43.44516628 -43.18922858 -44.69364098
 -43.10116694 -43.19230779 -43.49603217 -41.61918182 -37.40889428
 -36.9633887  -39.12374261 -38.49946603 -37.54118286 -37.98776714
 -38.47700933 -38.06327655 -37.26532832 -36.2507563  -36.38520229
 -35.49419114 -34.01136267 -33.66813803 -34.55777628 -36.43462664
 -35.82407905 -36.72430823 -36.56603264 -37.29160952 -36.9833938
 -37.10577789 -37.00614469 -36.44570789 -37.23659551 -36.62928404
 -36.36058818 -37.09567728 -36.72774048 -36.49081741 -37.10626821
 -36.69930186 -37.25405093 -37.08341926 -37.04586068 -37.33622872
 -36.60810218 -36.48571808 -36.85767552 -36.60545444 -36.72862305
 -37.01418595 -36.98761056 -37.06145288 -36.80550537 -36.95289583
 -37.22776973 -36.83570914 -37.25326642 -36.60702347 -36.71999341
 -36.89278249 -36.89837215 -36.72911337 -36.73803721 -36.76706421
 -37.10842563 -36.84404459 -37.09812889 -36.59300029 -37.20040983
 -36.81648856 -36.74549009 -37.12333138 -36.89062508 -37.05213679
 -36.49905481 -36.93622492 -36.51376443 -36.80099442 -36.86277485
 -37.13460876 -37.03997683 -36.87336578 -37.06027611 -36.73774302
 -36.19358488 -36.9833938  -37.20482272 -36.78677511 -36.82982529
 -36.75362942 -37.09852114 -37.16432221 -37.05958966 -37.18942664
 -36.940932   -36.50650768 -37.17383443 -36.71607084 -37.23041747
 -36.53769209 -37.15206419 -36.95466099 -37.21570784 -37.13980616
 -36.49160193 -36.95495518 -36.44511951 -37.15775191 -36.54132047
 -36.33038441 -35.90655103 -36.15210373 -36.71675729 -36.79569895
 -36.29910194 -37.15579063 -36.2140803  -36.52867019 -37.13745262
 -36.01608872 -36.53759403 -36.27223236 -37.25022643 -36.93181204
 -37.10518951 -36.15024051 -37.01173434 -37.3907524  -36.85591036
 -37.12127203 -37.21600203 -36.86944322 -36.84463298 -36.35529272
 -37.08410571 -37.09655986 -35.99235718 -35.84761445 -36.99565182
 -37.11313271 -37.12705782 -36.88415284 -37.36358862 -36.59554996
 -37.29347274 -37.19815435 -37.06576771 -36.71528632 -36.76196487
 -36.86395162 -37.02918977 -36.9568184  -37.29749337 -36.99192538
 -37.05753032 -37.09822695 -37.17236347 -36.69635994 -36.69528123
 -36.92269207 -37.18226795 -36.98133445 -37.19678145 -36.76471067
 -36.80834923 -36.20966741 -36.60565057 -36.58956805 -37.1553003
 -36.82227435 -36.97044932 -37.09881534 -36.61732021 -36.99114087
 -37.1016592  -36.93063527 -36.87954383 -36.99349441 -36.97996155
 -37.31122235 -36.85257618 -37.18668084 -37.03772135 -36.91955401
 -36.85326263 -36.90759018 -36.92622238 -37.18020861 -37.06714061
 -37.01536272 -36.97309706 -37.18334666 -36.94701198 -37.170108
 -36.92994882 -36.60741573 -36.96789965 -36.81197761 -37.19825242
 -36.82462789 -36.99055248 -36.80864342 -37.34270095 -36.79314928
 -36.93112559 -37.16383189 -36.87866125 -37.2963166  -36.87120837
 -36.28841295 -36.65164267 -36.89847021 -36.79452218 -36.91200307
 -36.86561871 -36.89621474 -36.57966356 -36.59858995 -36.52121731
 -36.65585943 -36.99506343 -36.93092946 -37.06204127 -37.07047479
 -36.92524174 -37.10803337 -36.97064545 -36.43050794 -36.31086964
 -37.10607209 -36.96113323 -36.77471322 -37.02428656 -37.08724376
 -37.00222212 -37.10646434 -36.99418086 -36.66331231 -37.08390958
 -36.9080805  -37.01673562 -36.90523664 -36.7662797  -36.93073333
 -37.03419104 -37.0857728  -36.96986094 -36.82747175 -37.05311743
 -36.48277615 -36.45188594 -37.12342945 -36.30969287 -36.72852499
 -36.01805    -37.40095108 -35.64756352 -36.78530415 -37.10450306
 -37.25846382 -37.2371839  -36.89180185 -37.13137264 -36.9817267
 -37.25218771 -36.70400894 -36.98015768 -36.94760037 -36.98094219
 -37.11734947 -37.1895247  -36.78530415 -36.93799008 -36.96682095
 -37.19128986 -37.30641721 -36.7846177  -36.528376   -36.77392871
 -36.80501505 -37.25630641 -36.80923181 -36.9491694  -37.0397807
 -37.15490805 -36.96407515 -36.78608866 -36.71832631 -36.62290987
 -37.08940117 -36.67213809 -36.89042895 -35.87203243 -36.70695087
 -37.01516659 -36.97878478 -37.02458075 -37.02497301 -36.46335944
 -36.87052192 -36.72695596 -37.15892868 -36.95770098 -37.414582
 -37.18638665 -37.37221827 -36.71548245 -37.07390703 -37.20452852
 -37.28601986 -36.67380518 -37.20913754 -37.04203618 -37.27964569
 -36.98378605 -37.00643888 -37.07469155 -37.14078681 -37.2686625
 -36.48032455 -36.90533471 -36.96878223 -36.39481258 -37.30602495
 -37.10666047 -36.41854411 -37.0159511  -36.57368165 -37.0359562
 -36.92828173 -37.16157641 -36.75323716 -36.74578429 -37.22502394
 -36.53171018 -36.57848679 -37.00771371 -37.25611028 -37.0304646
 -36.96005452 -37.33828807 -36.77520354 -36.81835178 -36.96113323
 -36.87012967 -36.93416558 -37.05145034 -36.80766278 -37.11597657
 -37.05792257 -37.12960749 -37.11989913 -36.71499213 -37.14873
 -35.99019977 -34.6713346  -35.50811626 -36.91984821 -37.14284615
 -36.82806013 -36.79177639 -37.04125166 -36.52200182 -37.14971065
 -36.97917704 -36.92092691 -36.73156498 -37.07557413 -36.88003415
 -36.5373979  -37.01124402 -36.84453492 -36.08983298 -36.70940247
 -37.1618706  -36.8292369  -37.13539328 -36.96770353 -36.5018006
 -37.13568747 -36.87562126 -36.85228199 -37.24669612 -36.74401913]"
5,"[-26.5489727  -28.3268763  -27.03321362 -26.17583849 -24.29663459
 -21.24958436 -18.05592819 -17.88872876 -17.94648856 -15.96823984
 -13.57400286 -10.48753084  -9.79902222  -8.54978262  -9.38313203
  -9.59436228 -10.69307336 -10.8676276  -13.06151946 -12.38781853
 -10.83065741 -11.33078473 -11.16015305 -11.16250659 -11.84866167
 -12.46872148 -10.36691189 -11.95623807 -10.81398649 -11.74353686
 -10.66698829 -11.1660369  -10.90724553 -10.0695813  -11.59977478
 -13.68216766 -15.69777883 -17.90647837 -18.66931964 -17.52343968
 -17.29995142 -18.35218008 -18.91163623 -20.60157626 -20.80564782
 -21.8805293  -22.5170639  -21.70764215 -18.95733414 -21.28351457
 -20.49684371 -20.55087707 -20.28080832 -19.1337516  -20.01377956
 -20.8366361  -21.90965436 -23.07867746 -24.60181032 -25.85310927
 -26.5894732  -26.91494822 -27.60296651 -28.18046647 -30.83016064
 -29.432648   -30.27188126 -31.90572858 -32.2952395  -31.3301899
 -32.10970207 -30.26609547 -29.87354456 -30.02917241 -30.55116805
 -31.75117943 -31.99663407 -31.18525104 -30.75445509 -32.15481159
 -32.63542414 -32.69259556 -31.86934676 -30.08183288 -29.26711566
 -30.14508427 -34.72409313 -39.79827707 -38.22037537 -40.71761896
 -41.31602621 -40.14967045 -37.28474502 -39.96968346 -38.38806512
 -36.64889687 -36.54053595 -37.03801554 -39.28175342 -39.27581073
 -39.1202123  -40.04780138 -39.06127572 -40.82252802 -40.54112305
 -39.89803777 -39.60276652 -39.38523074 -38.08730228 -40.39318343
 -39.11128846 -38.52623755 -38.34501495 -40.39464458 -39.38920234
 -37.36643249 -37.79614973 -40.83145186 -38.97507731 -38.47700933
 -40.3462303  -40.97275254 -40.07906424 -39.48199067 -37.07527993
 -38.50652665 -39.34050367 -38.4179747  -38.0549411  -38.53859364
 -39.43342929 -40.41165872 -41.96297522 -41.02852164 -40.56344246
 -39.18091402 -40.31607556 -40.32564663 -40.3454752  -37.84606439
 -36.45002272 -36.94681586 -39.49049284 -39.99079667 -37.87214947
 -38.77581089 -38.56134453 -38.43748947 -37.93481248 -37.03487749
 -37.84282828 -41.71451981 -41.01899961 -36.91043404 -35.04701848
 -33.24822721 -31.83100367 -30.90027653 -33.01914928 -33.82386395
 -32.98423844 -31.85297005]"
6,"[-27.66768887 -30.0349582  -30.01485504 -31.92808721 -32.22414297
 -31.91926143 -30.02878015 -32.16412769 -31.08198946 -31.63889594
 -31.61840053 -32.04645067 -31.11640998 -30.95940923 -31.69489059
 -30.74631576 -31.72087759 -30.98402334 -31.21663158 -30.59559112
 -30.30483082 -32.47665824 -32.94893533 -31.64664301 -27.88794102
 -26.51955344 -24.71350542 -25.96009729 -24.6393689  -24.043629
 -25.21049469 -25.71022976 -24.33380092 -27.30740107 -32.05674741
 -32.0888144  -31.69390994 -31.63811143 -30.79701495 -30.69189014
 -30.28139348 -32.38889079 -31.29880936 -31.82109919 -31.75667102
 -31.65743007 -30.1688158  -30.10821214 -28.78669924 -28.70530597
 -28.84190937 -28.26166361 -28.21861344 -27.29112242 -29.67133621
 -29.37783012 -31.32518862 -33.32030438 -32.79958358 -32.8740143
 -32.9684501  -32.69828328 -32.80958613 -33.09524709 -33.0552369
 -32.8937252  -30.5833331  -29.58043072 -28.5330072  -29.50188131
 -30.40397371 -29.15414572 -26.66910132 -26.66949357 -27.22453684
 -28.40385668 -27.09381729 -28.25764298 -30.28766959 -32.45655508
 -30.79260206 -30.98196399 -29.74409984 -31.10199455 -31.67939645
 -31.60447541 -30.80329105 -32.06400416 -31.54681367 -31.19113489
 -31.77902965 -31.29057197 -31.30822352 -30.98873042 -30.10674118
 -30.77995178 -30.45182903 -31.91161243 -32.32485488 -32.72681996
 -30.74955188 -31.73117433 -31.61594892 -31.27252816 -33.68431862
 -33.43307819 -30.19666603 -29.92532244 -30.8171181  -30.74023579
 -31.62281341 -30.86261988 -32.01771787 -30.16538356 -31.45100497
 -31.40265933 -32.78389331 -32.84792922 -32.06165062 -32.18570181
 -31.99320182 -32.05066743 -31.91563306 -31.72460403 -30.69375336
 -30.23608783 -29.9309121  -29.91600635 -31.94142394 -31.91602531
 -31.36921944 -30.61363493 -29.30035942 -27.35202027 -26.2765504
 -25.28933829 -25.76955859 -27.51971002 -29.27643176]"
7,"[-29.42803898 -28.72089817 -28.40522958 -28.55075682 -28.76355609
 -28.68628152 -29.06373055 -28.79071987 -29.07285052 -29.14551608
 -30.42594009 -31.97555027 -33.49250509 -36.95564163 -38.2586204
 -38.82592169 -38.75766902 -39.56233466 -39.24897057 -38.57536771
 -40.23108334 -39.72713151 -39.98681527 -39.28561715 -38.77571283
 -38.68568991 -39.55444049 -38.71128466 -40.26942643 -41.20086944
 -40.39658625 -39.63129339 -39.82511724 -41.09995159 -40.82964748
 -41.89465391 -43.37397169 -44.97335925 -45.13605753 -45.61573847
 -42.92686767 -41.45266884 -39.23445707 -39.69678065 -38.39895025
 -35.86997309 -32.75123794 -32.14510324 -31.66478488 -32.42821453
 -31.08934427 -33.04533242 -36.52121731 -35.65795833 -34.37027757
 -33.01189254 -33.35354814 -33.74786421 -34.24338252 -32.15785158]"
8,[-6.0362996  -4.18220014 -4.47394107 -4.81010509 -2.66769693]
9,"[ -8.52585496  -8.04014308  -9.12051616 -14.97435937 -16.48915677
 -13.65618065 -16.23948536 -17.81782835 -17.05900772 -15.60971719
 -15.18235349 -17.03557038 -14.83510823 -13.8474058  -14.31262227
 -13.14840432 -15.2463894  -14.98465611 -15.49321695 -15.85203379
 -15.62305392 -15.7975101  -16.69979863 -16.29587227 -15.94715604
 -16.40217384 -16.05208471 -14.72674731 -14.23995672 -16.4668962
 -16.97369189 -16.18074492 -13.06200978  -8.82151847  -8.24333206
  -8.81975331  -9.0385345   -6.59595188  -5.18971153  -4.82844309
  -5.22040562  -4.7109622   -3.65765483  -0.85860892   0.68668644
   1.71410487  -0.44468001]"
