,0
0,"[ 5.891872  9.41398  10.050356  8.94853  10.804994 10.579896  9.844398
 10.249992  8.675582  9.648764  8.573676  9.380746  8.47264  10.482398
  9.511826  9.644588  9.46705   8.186584  8.007248  8.971034  9.150138
  9.4946    9.1292    8.843666  8.392194  9.148456  9.157098  8.835894
  6.158266  6.849104  7.458626  7.63338   8.80991   9.043998  8.914542
  9.671906  7.59452   9.065516  9.200192  9.09411   9.603698  9.710186
  9.4076    9.438398 10.79467  10.331946  9.58943  10.491214 10.126046
  8.972194  7.49679   8.085374  8.428676  7.707852  9.49721   8.280196
  9.044172  9.16487   7.449694  6.598544  6.219282  8.374852  9.10426
  9.569942  9.138422  9.36323   9.514088  7.79375   6.42524 ]"
1,"[ 9.920436  9.366536  9.89944   8.728884  9.139002  6.955128  6.661068
  9.597028  8.990754  9.645922  9.286264  9.399074 10.053256  8.82702
  9.767258  9.374018  8.95346   8.590554  9.482594  9.604974  9.184358
  8.965118  7.566448  8.238552  8.410406 10.9011    8.529306 10.339428
  9.478534 10.015962  9.077     6.6845    5.605642]"
2,"[10.167806  9.64337   9.948392  9.6947    8.17829   8.552216 10.280558
  5.29018 ]"
3,[7.033254 6.380232 6.60272  6.244396 6.02475  6.794468 6.841796 7.045318]
4,"[ 7.529096  8.344054  8.447758  8.426762  7.46692   8.474496 10.435418
 10.191528  9.690118  9.576554  9.915854 10.37881  10.40491   8.111242
  8.36534   9.07207  10.20626  10.404272 10.662256 10.342966 10.543124
 10.854584  8.090652  6.71466   7.870948  9.398204  9.96585   8.741702
  7.327952  8.538586  9.190796 10.598862 11.08351  10.46001  10.120768
 10.778894 11.078522 10.563366  9.965502  9.677706 11.102012  9.860232
  9.854026  8.729754  7.352544  8.676626 10.359438 11.445778  9.127982
 10.807952  9.479926  9.846718  9.515074 10.85209   9.840106  8.388018
 10.339254 10.104992  9.147818 10.268784 10.165196  9.459336 10.298538
  9.99572  10.19234  10.64619   9.322746  9.35569   8.473916  9.049508
  7.307478]"
5,[6.747952 9.56478  7.537854 8.994176 8.496826 7.621432 7.215954 7.252842]
6,"[ 8.844942  9.387068  9.48474   9.92293   9.30581   9.117368  8.068554
  5.981134  8.47757   8.710962  8.104456  8.774936  9.100258  8.988376
  8.277412  7.672878  7.668006  8.058404  7.925294  8.731146  8.962856
  9.39252   8.740832 10.536512  8.271496 10.620438  9.807974  8.938496
  8.131716  8.132296  9.5033    8.414524  6.24776   5.739622  7.558154
  7.137074  8.115476 10.336992  7.344424]"
7,"[ 9.663264  9.780366 11.262614 10.82947  10.880104 10.000766 11.00144
 10.584826 11.463062 12.089694 11.445372 11.883678 11.871034 11.612412
 11.780844 10.846348 10.107544 10.396094  8.205318  6.839824  6.80688
  7.17634   8.9726   10.583028 10.215714 11.010198  8.914542 10.893966
 10.435186 11.440094  9.723062  7.309102  7.107262  8.145288  7.951568
  8.054808  8.177246  8.892096  8.964944  8.92011   7.681114  8.57443
  9.662394 11.817558 10.594106 10.20452   9.547554  9.377672  9.486712
  9.58305  10.60182   9.143874  8.687182 10.649032  8.644668  8.908568
  6.591004  8.473626  8.1925    7.856158  9.117078 10.672522  9.078624
  8.593048  8.728362  8.931072  9.104608  8.825048  8.96622   9.13703
  8.854918  5.048494  6.067206  8.252762  8.452224  8.471016  6.594542
  7.420868  8.274744  7.107842 10.05807   7.828086  7.259106  8.0707
  8.52832   8.566542 10.447192  9.876704  9.257496  8.456168  8.92446
  7.77403   8.373808  7.481536  8.512428  8.56631   8.939076  8.548156
  8.376534  9.09237   7.951046  9.102868  8.215816  8.96622   9.85333
  9.520584  8.74205  10.522186  8.68144   8.84819   9.74284   8.477048
  8.728304  8.752432 10.561046  7.592548  7.51622  10.081328  9.624114
  9.736634  8.307862  8.734046  8.984432  8.384712  9.76024   8.23252
  8.687066  7.864046  9.601436  8.872434  8.802776  9.348498 10.28543
  8.48917   8.06722  10.254632  8.546996  8.628428  9.820038  8.18032
  8.9929    9.161274  8.206652  8.897374  9.889406  9.806756 10.090608
  9.527544  9.758268  9.561532  9.133086  9.302794  6.923866  8.009742
  9.92351   9.456436 10.481296 10.48321  10.0949   10.414712 10.494752
 10.6314   10.055634 10.228358  7.788124  7.59104  10.452934 12.369718
 11.648546 11.880372 11.009502 11.126372 10.905044 10.368834 12.417336
 10.534598 11.829564 11.887042 11.369682 11.667512 11.674878  7.519932
  7.86828   6.867954  7.940258  9.32611   7.955976  9.209472  9.214228
  9.104492  8.357162  7.483276  7.808714  6.031362  7.484668  7.586748
 10.008654  9.937952  9.582006  9.364158  9.280232  8.533482  9.616806
  7.846472  6.502496  9.036226  8.980952]"
8,"[ 9.308536  7.797868  8.963552  8.468812  8.761944  6.93912   6.315968
  6.00851   7.880866  9.44327   7.715334  7.971288  8.392542  9.349716
  9.830594 11.845514  9.072244  9.174904 10.473524 10.149478  9.73356
 10.00848   8.099236  9.999606  9.098112  5.960138  5.077726  5.902486
  8.64693   7.942636  6.881816  6.867838  6.007872  7.520512  9.583282
  8.133804  8.713224  9.124676  8.930492  6.71466   7.703966  9.68426
 10.029824  9.58827   9.491294  9.712738 10.0862    9.17154  10.152784
  9.57203   8.734684  7.40167   6.445018  7.82536   9.57203   9.239226
  8.263956  9.390316  7.435252  7.348716  6.999382  7.092878  7.701356
  7.003326  7.04439   9.38469  11.327574 10.03052   9.911736 10.225284
  9.638672  9.982032 10.563656 10.233636 10.084692 10.648162  9.147528
 10.46697  10.33705   9.834828  8.785144 10.028664 11.54751  10.805632
 10.42753   9.862262  8.720068 10.014048 10.312342  9.69151   9.696498
  8.46684   9.310218  9.965386 10.568586 10.67606  10.370284 10.298074
 10.619278  9.812382  8.148362 10.109226  8.444568 10.141474 10.374634
 10.41825   7.735112  6.711412  5.787994  7.129128  8.97956   6.817668
  8.304382  9.429756  9.416938  7.595448  9.221304  9.16719   9.575626
  9.173164  9.69934   9.30436   9.087034 10.468072  9.78141   8.765598]"
9,"[ 9.847472 11.185474 10.545966 10.875812 11.506156 11.61711  10.724084
 10.962    11.05335  11.0026   11.131824 11.969982 11.021334 10.843042
 10.590684  9.572784 10.843042 11.315742 11.311914 10.31008  11.5043
  9.935574 11.656376 10.376548 10.438202 11.525934 10.702276 10.67229
  9.6222   10.614638  7.558328  5.221392  6.463404  7.367856  7.495224
 10.189904  9.868294 10.792698  9.50156   9.197118  9.094458 10.093276
 11.740476  8.268538  7.862306  6.184366  6.795802  8.903986  7.125532
  6.510848  6.884136  5.966924  7.100534 12.324826  8.252878  9.93482
 10.92517  10.922502 11.00753  10.23874  11.027714 10.394992 10.088056
 10.793452 10.383508  9.890218 10.523346 11.843948 10.65808  11.560154
 11.60696  11.563808 11.425826 10.65779  10.978878 11.376584  9.470936
  7.453986  7.971462  8.227416  7.79578   7.721192  6.753752  6.979198
  7.618532  8.870288  8.285938  6.493042  9.127518  9.121022 10.599152
 10.865662 10.815318 10.89965  10.898258 10.728028 10.679366  8.219412
  9.53781   9.5294    7.92773   8.655456  8.34504   8.679004  8.950908
  9.520062  8.471248  7.443488  6.982794  6.440958  8.127424  6.920908
  7.252262  6.869114  8.457502  8.067974  7.621838  7.673226  7.487162
  5.439008  5.066416]"
