,0
0,"[-43.44128294 -43.52241144 -43.5924881  -43.63904898 -43.38716132
 -43.44927517 -43.6186124  -42.00631959 -42.29440273 -42.20340898
 -41.12852749 -41.97812614 -41.32288089 -43.83116651 -42.54376033
 -41.91529642 -43.42029721 -41.90271478 -43.18488433 -43.43408503
 -43.46468105 -43.71677464 -45.98519528 -48.3494658   47.10340516
  44.65562514  40.79709382  37.31601153  32.65404037  35.33158477
  37.81878658]"
1,"[-23.59675053 -20.45899094 -20.48056506 -21.24193536 -20.97392595
 -20.48644891 -20.37318478 -21.12249319 -20.68473468 -20.52714554
 -20.95264602 -21.19349165 -20.00671894 -20.40633047 -22.32054328
 -24.25966439 -22.93775924 -20.89312107 -22.94491792 -21.26429399
 -20.44771356 -19.92807146 -19.64819629 -20.05192652 -19.84785496
 -22.87225236 -24.42794253 -25.82967193 -25.91802776 -28.26440941
 -31.29400422]"
2,"[-27.09852437 -27.60296651 -30.80584072 -31.34205566 -28.61753853
 -28.70883628 -28.99135918 -28.233225   -27.28161019 -26.73362755
 -26.7803061  -28.18223163 -27.26984249 -27.63856381 -26.90739728
 -25.73072517 -23.01522994 -23.11476508 -22.99983386 -23.03592148
 -22.6643563  -24.35174666 -23.03935373 -22.70073811 -21.96751223
 -22.84616729 -23.38404932 -24.85314882 -25.03064498 -25.05506297
 -24.38126398 -24.36920208 -23.8676038  -24.47569978 -26.35735529
 -30.91802615 -32.27376345 -30.2662916  -28.57036966 -25.52341749
 -22.3818334  -19.37783334 -16.06954014 -16.72225533 -19.08001243
 -20.16577904 -19.81402282 -20.70758364 -19.47727042 -19.57327526
 -19.20416168 -21.41884314 -21.1889807  -20.20892728 -19.36989015
 -20.66267024 -21.99899083 -23.4298453  -24.451576   -23.29481092
 -21.23987601 -24.05941734 -24.40058262 -23.93948484 -22.64415508
 -19.95297976 -21.10611647 -22.48646788 -21.91563628 -22.63552543
 -22.21924298 -23.15614817 -24.58396264 -25.09811314 -24.0923669
 -22.78183719 -19.91816698 -19.8304976  -21.29989129 -21.34853112
 -20.10125281 -19.94837075 -19.92816953 -15.84664026 -17.00693564
 -17.77418979 -18.71805753 -19.42715963 -20.22667689 -21.4455166
 -22.47636727 -23.37012421 -24.61210706 -24.7237041  -23.11809927
 -21.57398067 -21.63203467 -20.12410176 -21.70774022 -21.67626161
 -22.29681175 -25.00936506 -23.86770186 -22.95521466 -22.44224093
 -19.95052816 -20.0489846  -20.68581339 -24.53140024 -25.69767754
 -26.06894853 -26.96241128 -28.03317407 -26.6226189  -26.87915479
 -26.5881003  -26.21006289 -28.26421328 -26.91200629 -28.3712013
 -33.20704026 -34.79773933 -35.25981775 -33.82759039 -35.17911093
 -33.90917979 -34.42921414 -33.81915687 -33.85141999 -35.05859005
 -35.34552585 -35.20225408 -35.63962033 -34.97317615 -35.30159309
 -35.00740055 -35.42937072 -35.17852255 -34.72154346 -35.63461905
 -33.15124174 -36.46335944 -36.25811111 -34.36282469 -35.13733559
 -34.19493881 -36.44776724 -37.18834793 -37.86567723 -35.41515142
 -34.2678005  -34.8635404  -33.43631431 -32.56883857 -30.88988173
 -29.28270787 -26.87709545 -26.39942482 -26.55966169 -27.99355614
 -28.49182025 -29.88040905 -28.90368981 -26.4553214  -27.08920827
 -28.87309378]"
3,"[-23.76532286 -24.59269035 -25.38151862 -26.41227123 -28.5727232
 -33.55850228 -33.4763245  -31.62016568 -29.90688638 -26.66233489
 -24.26241019 -24.37145756 -23.42641305 -22.45685249 -24.2990862
 -24.94140658 -26.75108297 -28.4569094  -31.83482817 -33.58586219
 -33.19497836]"
4,"[-21.63183854 -22.13275038 -18.75238    -14.99573736 -15.59216371
 -16.09013362 -16.86709612 -19.12502389 -19.60308677 -19.29673427
 -20.0161331  -19.8411866  -19.63436924 -18.60410696 -19.05118156
 -18.51094598 -19.21769454 -18.12231764 -15.90351748 -14.62907539
 -12.39791914 -13.8791786  -13.67255737 -14.33311769 -13.57498351
 -13.4622097  -13.25862846 -11.21330384 -12.00576048 -10.90018491
  -9.82451891 -11.84052234 -13.01503703 -12.98699068 -12.17531345
 -13.24382077 -14.45991467 -12.55099733 -11.07395464  -9.67438265
  -5.29022732  -4.37067949]"
5,"[-21.77756191 -20.63766388 -23.59851569 -25.79338818 -28.21792699
 -30.35219582]"
6,"[ -8.25931652  -5.19579151  -5.30934983  -4.86384426  -5.02888627
  -4.90032413  -4.17582596  -3.64265101  -3.61764465  -5.0816448
  -4.98191353  -5.10429763  -4.79264966  -5.40182435  -5.37446445
  -5.3001318   -5.03947721  -5.72121939  -5.86439309  -7.50098621
  -8.36169552  -7.67367723  -8.23332951  -7.34526029  -7.53766221
  -8.41386567  -8.1468369   -7.74624473  -6.92162303  -6.7900209
  -8.20547928  -9.67016589 -10.9648092   -8.22881856  -8.62382108
  -8.66245837  -7.69858553  -9.28369495  -8.41121794  -8.01395994
  -8.33031499  -7.39331174  -7.21257945  -7.91668027  -7.39036981
  -5.9719695   -5.77034955  -5.70572525  -6.23948859  -7.98895357
  -7.65102441  -6.76079777  -7.63062706  -7.29407079  -8.60744436
  -8.43906816  -7.75291309  -6.76844678  -8.9164446   -7.47176308
  -6.80208279  -8.38356384  -5.72818195  -8.32354856  -8.01778444
  -7.56982726  -7.61699613  -8.02494313  -8.31354601  -8.63303911
  -8.58655669  -7.70898034  -7.959044    -7.18276794  -7.08333086
  -6.57084745  -8.52369755  -8.47878416  -7.412042    -5.7614257
  -6.52946437 -10.30532759 -10.84252317 -12.60375586 -14.48727458
 -14.9033609  -14.24221219 -14.57298267 -14.51120224 -13.18576677
 -12.62915448 -13.49947409 -12.31662394 -11.59045868 -13.32070309
 -14.26829726 -13.46946645 -12.77330883 -12.95629659 -13.81671171
 -13.09897997 -12.13824519]"
7,"[ -7.89098746  -7.00507565  -7.30328882  -6.94839455  -7.20728399
  -7.28357792  -7.42135809  -7.13236295  -6.79943506  -6.84974198
  -6.8781806   -6.99928986  -7.68230688  -6.6544962   -7.19914466
  -6.71411922  -7.03675038  -7.14668032  -6.96192741  -7.1700196
  -8.32609823  -6.74393073  -8.4638784   -8.35336007 -10.26159096
  -9.7539127   -9.42137706]"
8,"[-1.72353499e+00 -1.00276327e+00 -1.88132026e+00 -3.62656849e+00
 -8.02810400e-01 -1.16094079e+00 -2.02988750e+00 -2.11483390e-01
 -8.71161134e-01 -2.93072788e-01 -7.43465182e-04 -3.55049351e-01
 -2.60907737e-01  6.41522000e-03 -3.81232487e-01 -7.31615805e-01
 -2.50512934e-01  1.51429321e-02 -1.25383039e-01 -1.20506967e+00
 -3.79369267e-01 -1.41031800e+00 -7.92415597e-01 -1.83142842e-01
  2.37725800e-02 -5.78243426e-01 -1.66373867e-01 -1.96134063e+00
 -3.75513063e+00 -6.23380086e+00 -7.09853081e+00 -8.12996986e+00
 -7.09804049e+00 -6.39933320e+00 -8.32590210e+00 -8.52722786e+00
 -7.40243171e+00 -5.67650212e+00 -4.97985418e+00 -5.20324439e+00
 -5.41957397e+00 -6.41423896e+00 -6.67597226e+00 -8.32786338e+00
 -4.94043238e+00 -6.66214521e+00 -4.26143599e+00 -7.21316784e+00
 -8.85427190e+00 -5.29983761e+00 -5.34896776e+00 -5.62276295e+00
 -6.32617732e+00 -6.50543864e+00 -5.91499421e+00 -6.42983116e+00
 -6.25468853e+00 -5.98726751e+00 -5.58814630e+00 -5.82222550e+00
 -5.89096849e+00 -3.95949638e+00 -9.75048045e+00 -1.20454765e+01
 -1.36763819e+01 -1.34213169e+01 -1.39872453e+01 -1.37975892e+01
 -1.31505617e+01 -1.45718059e+01 -1.38117104e+01 -1.42489786e+01
 -1.69904609e+01 -1.66453730e+01 -1.63244089e+01 -1.54519319e+01
 -1.78001768e+01]"
9,"[-8.10594414e+00 -7.65553536e+00 -6.90612889e+00 -5.78290176e+00
 -6.70362635e+00 -5.82310807e+00 -4.72292603e+00 -4.71086414e+00
 -4.34224088e+00 -3.97871696e+00 -5.05546167e+00 -4.93798078e+00
 -4.88522225e+00 -4.59505034e+00 -3.65059421e+00 -3.71041336e+00
 -3.85427352e+00 -5.14734780e+00 -5.04379203e+00 -3.99352465e+00
 -4.37450400e+00 -5.27541962e+00 -4.36901240e+00 -4.09404044e+00
 -4.23907736e+00 -4.19337945e+00 -7.15580029e+00 -8.93801872e+00
 -1.07582860e+01 -9.89522318e+00 -1.09926594e+01 -1.09415680e+01
 -1.08635089e+01 -1.07976098e+01 -8.07662295e+00 -5.75367863e+00
 -6.28754004e+00 -6.48680645e+00 -6.51132250e+00 -9.34155282e+00
 -7.85990111e+00 -5.20451922e+00 -2.67348271e+00 -1.25253273e+00
 -3.39337187e+00 -4.69419322e+00 -4.81716571e+00 -5.69974334e+00
 -5.22648560e+00 -5.44585517e+00 -6.39080162e+00 -4.93503885e+00
 -2.20149981e+00  2.95410361e-01  1.57053890e+00  1.47404375e+00
  8.05736358e-01  1.97387688e+00  4.35683647e+00  2.75123164e+00
 -3.15039165e-01 -1.66999195e+00 -4.74724595e+00 -7.18031634e+00
 -1.10634618e+01 -7.96953686e+00 -4.29144363e+00 -2.69211491e+00
 -4.49453455e+00 -3.35963779e+00 -2.23052681e+00 -2.97542233e+00
 -3.06760266e+00 -2.28593307e+00 -5.59667788e+00 -4.92729178e+00
 -2.92452702e+00 -2.01115724e+00 -2.08313635e+00 -1.01845353e+00
  3.57135880e-03 -1.20479830e-01 -4.48308387e-01 -3.24649454e-01
 -5.76086014e-01 -3.84750709e+00 -6.12053674e+00 -6.90642308e+00
 -8.35345813e+00 -8.32325437e+00 -5.84124995e+00 -5.67856147e+00
 -6.41482734e+00 -4.97583355e+00 -7.95551369e+00 -6.37246362e+00
 -6.64429752e+00 -6.52907211e+00 -7.53589706e+00 -7.58541947e+00
 -6.96359450e+00 -5.81065392e+00 -5.40555079e+00 -7.23327100e+00
 -7.25847349e+00 -6.09435360e+00 -6.57506421e+00 -7.20855882e+00
 -7.24788256e+00 -6.65253492e+00 -6.88543735e+00 -6.97114544e+00
 -6.38638873e+00 -4.81461604e+00 -7.41498392e+00 -7.03635812e+00
 -4.99230833e+00 -6.92829139e+00 -4.97808903e+00 -4.10129719e+00
 -7.44587414e+00 -7.29397272e+00 -7.44508963e+00 -4.14375898e+00
 -6.63860980e+00 -9.60563966e+00 -1.00768380e+01]"
