,0
0,"[ -6.90283389  -7.00955725  -5.46334368  -6.05503056  -5.8759158
  -5.85659181  -7.40309965  -9.05289766  -8.13025065  -8.28337121
  -8.80492279  -8.69329486  -9.02788438 -10.87190321 -11.38717695
  -9.18738087  -8.5503758   -9.50578532  -8.67671743  -7.1820999
  -6.45102525  -5.19015934  -5.59812117  -5.15651402  -6.30320162
  -7.46499528  -7.02466332  -6.08995107  -2.7095278   -4.27604628
  -5.94163699]"
1,"[-21.19042406 -21.71472219 -21.78878114 -19.9528058  -19.01161953
 -19.55220082 -20.9117466  -19.34336439 -19.79046465 -16.25093725
 -13.87016268 -14.04760989 -15.11759007 -14.43104888 -14.7972238
 -18.00049414 -23.43200704 -22.34633224 -20.3870561  -23.12723729
 -25.71351318 -26.48931748 -27.01518508 -26.67127689 -28.07614086
 -31.50139187 -32.44051822 -31.84863516 -30.46937303 -30.84790746
 -32.16772625]"
2,"[ -3.78039081  -2.18719149  -2.68333742  -1.56823523  -2.40132486
  -3.38164957  -3.97755437  -4.68135963  -4.62897887  -4.83006609
  -4.05229996  -3.06383367  -2.98143696  -4.05337897  -2.02141715
  -0.97831399   0.6909061    1.69035862  -0.79713931  -1.0664
  -0.31070443   1.58922646   2.32520568   3.00615567   2.81909551
   2.04770532   0.39829968  -0.13482668  -0.94682668  -0.56613424
  -1.3106474   -3.03842802  -5.94055799  -8.60089283 -13.18479859
 -19.1215799  -22.9472397  -20.32761275 -19.86334651 -19.63822692
 -21.15462072 -22.45805826 -23.42259027 -25.41953348 -25.0314842
 -27.41775188 -28.26447621 -28.40082315 -27.13191376 -26.63566974
 -25.38892899 -24.33297586 -25.53273087 -27.25894202 -26.08910487
 -25.25699615 -23.95718799 -22.97833465 -20.8935997  -19.14865311
 -21.53129141 -22.71495944 -21.37669948 -21.26399255 -20.21608292
 -19.24282078 -18.80915903 -20.76098023 -20.03019985 -20.2942617
 -19.74269418 -19.66794859 -17.32935329 -19.18896864 -20.60972341
 -23.24141559 -25.412569   -27.64336193 -28.56924596 -30.47005967
 -28.41229983 -27.04981132 -26.08596595 -23.40444337 -21.84528175
 -21.93601622 -23.07740689 -25.34998673 -28.52373158 -30.05199444
 -28.80368422 -29.49424716 -29.82932713 -29.98735225 -30.68752814
 -30.53018965 -29.84737593 -28.55227616 -29.99215873 -29.25313868
 -29.55682942 -31.90650904 -31.62224038 -30.14439647 -28.64046026
 -26.45645689 -27.81923968 -30.85134065 -29.43568664 -33.38150831
 -37.23276995 -39.882148   -38.83077574 -37.78129664 -39.27806238
 -39.28054409 -40.60197157 -39.16291297 -39.10356772 -39.43528315
 -39.93203725 -41.68287913 -41.19334456 -42.43483743 -41.53567348
 -41.1044542  -41.12542613 -42.05448831 -43.49640137 -43.36934368
 -41.5819922  -42.87349203 -41.17960197 -41.49463207 -40.82109779
 -42.05500819 -42.75710667 -42.20189995 -42.8270654  -41.29068058
 -44.49426481 -42.32101225 -41.93723975 -42.89842684 -42.03272184
 -42.45001215 -41.8900382  -45.89262533 -47.92482256 -49.05317905
  47.86008198  45.14520836  46.02606846  46.11121173  46.87171378
  47.35471547  48.11982781  45.36728712  45.86343304  47.94444052
  48.66423467  45.35757608  44.27445166  44.54459517  48.60469324
  47.73570218]"
3,"[ 5.15965264  6.39118923  7.10411699  9.42721386 13.40981978 13.77972217
 11.39178693  8.55606479  6.89606529  5.30404307  5.98724915  6.49702977
  5.5761484   4.78151057  6.00657314 10.4027321  11.53676591  9.90952891
  9.57170238 10.71525106 12.87532015]"
4,"[ 9.09845941e-01  1.57289289e-01  2.13255432e+00  1.70350286e+00
  5.55540072e-01  9.97147221e-01  7.35532464e-04 -3.35619624e-01
 -1.30387910e+00  8.49127410e-01  1.51349996e+00 -2.25713061e+00
 -1.94990857e+00 -1.53880783e+00 -1.12466625e+00 -1.19745001e+00
 -1.22825069e+00 -2.85691139e-01  1.57598413e+00  2.09964331e-01
 -5.52793819e-01 -2.85215259e+00 -2.68137559e+00 -5.26127555e+00
 -3.25324802e+00 -3.15172350e+00 -2.97192210e+00 -1.13643721e+00
 -9.58695726e-01 -2.15030915e+00 -1.96952684e+00 -8.52266637e-01
 -2.50775394e+00 -2.26164281e+00 -2.58652128e+00  3.07565200e-01
  1.17047459e+00 -1.18538478e+00 -1.74470152e+00  7.34262468e-01
  3.29817354e+00  5.69287708e+00]"
5,[17.52945929 16.84272191 17.46981976 20.00557863 22.07187241 22.47816668]
6,"[-22.14338129 -25.24424428 -26.06948661 -26.31775575 -26.28646462
 -27.42785529 -28.26879222 -27.77088065 -27.68789539 -26.45675116
 -26.1543356  -26.54738755 -26.30647525 -26.27351656 -25.6817316
 -25.72636315 -25.13820756 -25.05934213 -25.28171517 -24.70640954
 -22.70838732 -23.14871929 -21.84724357 -23.77856369 -23.97219597
 -22.54957747 -23.86694397 -23.09731943 -24.77791812 -23.68508266
 -22.92291305 -20.55273235 -19.26351805 -23.46937983 -22.9517519
 -22.99187126 -22.79921989 -22.64727643 -23.22944845 -23.38708121
 -22.93419356 -24.11952914 -24.39781423 -24.25401235 -23.70440665
 -24.92446656 -25.79208434 -25.53174996 -25.5595098  -23.6620312
 -24.22831242 -24.55348516 -24.3450411  -24.450195   -23.6936166
 -22.59273765 -23.15440858 -24.38918219 -22.43314306 -23.8134842
 -23.81358229 -24.38986883 -24.793907   -23.45702032 -21.81742381
 -24.18534842 -23.99191232 -23.48370116 -22.91261347 -23.54559679
 -22.79598288 -23.36550112 -24.37172194 -24.71974996 -23.51097055
 -24.6345086  -23.86674779 -23.00256321 -23.88352141 -26.00572724
 -25.57432159 -23.14224526 -19.9008174  -18.32635352 -19.62998724
 -15.72918949 -17.58488119 -17.31650332 -14.96407715 -12.2821622
 -13.47769928 -15.00311749 -15.3174021  -14.86049271 -15.14534992
 -12.73191093 -12.26950842 -12.59556399 -11.82603754 -12.77575776
 -14.38043376 -12.69993316]"
7,"[-8.54576551 -5.93673242 -7.44567129 -6.98199359 -7.24733063 -6.77227434
 -7.15296677 -6.78129874 -6.77923882 -6.78914605 -7.06988342 -6.55137267
 -7.48863529 -6.27720742 -7.32580369 -6.95904022 -6.91960751 -6.84966839
 -7.12501075 -5.10226951 -2.62144179 -1.12996318 -2.38317796 -5.1329721
 -7.62027385 -8.72644973 -7.55278702]"
8,"[ 4.50744341  5.32699644  4.82319939  4.34784882  4.3549114   4.72824698
  4.98710999  4.32685728  4.47173817  4.0122784   4.10124723  4.04141152
  4.38787008  4.49979229  4.02699209  4.26221509  4.30714092  4.18423249
  4.08496407  4.47801601  4.53402616  4.9383586   5.80381837  3.86739751
  5.08049294  4.65526704  5.52651419  4.34078625  4.37462775 -1.22236521
 -4.72952248 -4.22670634 -2.88108953 -0.79606031  0.34219144 -1.42698372
 -1.31692525 -0.79802213 -0.6196921  -0.66010573  0.13933858 -0.77006611
 -0.77546113 -1.62581483 -0.11628742  0.46500178 -0.36592984 -1.55597381
 -1.45003518 -0.82872472 -0.98361092  0.12727334 -0.63881991 -0.2442966
 -0.48157952 -0.49070201 -1.17900884 -0.360731   -0.24243286 -0.00946597
 -0.39712289 -0.26273777 -0.89817338 -1.9123396   0.51159516  0.86972659
  2.14049972  4.09948158  4.56992758  3.52780534  0.01711678  0.86158501
  1.75421607  0.99950141  1.05237264  1.86996384  2.5262929 ]"
9,"[ 2.31225763 -0.4059511  -0.30785978  0.20192084 -0.66687403  0.32129799
  2.12666884  4.15627646  4.45015807  3.33240742  2.1712023   1.69879447
  1.99100853  2.07615181  3.46816581  5.18986476  5.4947326   5.438232
  5.54868283  5.99892202  5.16298774  5.41429772  5.07382272  9.23417013
  8.9846258   6.69291815  5.81755116  5.9188795   8.08964054 11.18236195
 10.12091572 10.27923512  9.51471132  9.66263304 10.3450544  11.77748203
 15.29121141 18.39707706 19.50197776 20.38676152 22.61225752 21.64213431
 22.09698379 20.24874702 25.91401155 28.44869141 31.51061215 34.9726474
 32.94225505 33.05662954 33.62536304 35.17795255 36.02840435 35.7643425
 35.82741522 35.45349108 35.41690302 37.97267252 37.63788682 39.07286483
 38.76142487 40.38522868 41.29276962 38.59672953 38.36032944 40.56964037
 41.97676044 42.43661257 41.82491507 42.16813662 43.15513154 44.49456859
 46.19949393 47.38904744 47.80868213 47.25662415 47.08133495 44.99924846
 43.19770317 41.68042654 44.12319483 43.62440044 43.71729293 43.24253091
 41.48473435 40.4878322  39.82895277 39.55223714 39.93028111 39.94587763
 37.44494118 36.58654399 36.00417579 33.56101513 29.0187982  29.81363221
 30.57580181 30.48810817 29.20360225 29.0617622  30.57923501 29.55545584
 30.27495572 29.67865855 29.66002119 29.02693978 30.41336258 29.7628209
 29.94850778 29.51847541 30.00275229 30.42660491 30.5408813  30.44455562
 29.63304608 29.94664405 28.8130026  29.33269044 28.88186271 29.5400555
 30.15597094 33.48587718 36.54740555 35.95454158 33.65577135 33.14814874
 35.36874018]"
