,0
0,"[-10.992334 -11.095632 -10.523694 -11.000512 -10.916586 -10.592076
 -10.928186 -11.301358 -11.578192 -11.420896 -12.320708 -11.832754
 -10.318026  -9.340842  -8.98072   -9.896656 -10.608142 -10.428342
 -10.66417  -10.57369  -10.837938 -10.429734  -9.587574  -8.537368
  -8.226952  -6.898404  -7.624274  -9.262136 -10.387162  -7.218448
  -5.430076]"
1,"[ -9.544016  -9.565418  -8.563468  -9.740404  -9.63902   -9.828274
  -9.84405  -10.588828  -9.963124  -8.871506  -9.547206  -8.820756
  -7.911432  -9.162666  -7.8329    -7.880228  -8.752374  -9.610426
  -9.325588  -9.889696 -11.31087  -11.630624 -10.904232 -11.131824
 -11.037922 -10.48408   -8.867156 -10.669506 -10.78945   -7.661916
  -6.541878]"
2,"[ -9.860522  -8.794598  -7.734764  -8.831776  -8.252008  -6.316026
  -5.729298  -7.95238   -9.986382  -8.946152  -9.396     -9.580788
  -9.033558 -10.682266  -8.36679   -9.089296  -8.338138  -8.183336
  -8.483834  -8.730218  -8.20062   -7.508622  -5.967214  -8.021052
  -8.744138  -8.169126  -7.986368  -8.84616   -9.129258  -9.141554
  -7.48548   -5.863626  -6.889588  -5.735446  -6.824338  -7.71487
  -8.225154  -7.617546  -6.4032    -5.936822  -5.071868  -5.41517
  -7.490062  -8.171388  -9.277158 -11.762226 -11.759732 -11.203744
 -11.131998 -10.826628 -10.986012 -10.259156 -10.753664 -11.364984
 -10.879176 -10.318142  -7.511116  -7.087774  -7.060572  -9.08628
  -9.830594  -8.926548  -6.9542    -6.312082  -9.112438  -7.370292
  -8.592932  -9.789588  -9.869628  -9.972346 -10.265362  -9.071838
  -8.321724  -7.954236  -8.345852  -9.727006  -9.839294 -10.97389
  -9.162086 -10.981314 -10.291346  -9.345714 -10.889964  -8.030564
  -7.36078   -7.612094  -8.154916 -11.137334 -11.779684 -11.243822
  -9.996706 -10.422832 -10.896286 -10.967452 -11.264006 -10.364252
 -10.324232 -12.064812 -10.947036 -10.641608 -10.160498 -10.55687
  -9.5149   -11.685202  -9.275882 -11.333722  -9.567158 -10.876508
 -11.453144 -10.644392  -9.394666  -9.417402  -9.449534  -9.628928
  -8.341212  -9.148224  -8.379724  -8.763974  -9.15095   -8.388134
  -8.441436 -10.869374 -11.531792 -11.75428  -11.617516 -11.390562
  -9.980988 -11.577612 -11.525064 -10.603618 -11.576974 -11.754918
  -9.739534 -10.751054 -10.604488 -12.055358 -11.19197  -11.482666
 -10.931434 -10.357176  -9.965502 -11.495716 -10.381942 -10.822974
 -10.963682 -12.179362 -10.495622  -9.999954 -10.140082  -9.76952
  -9.839294 -10.74856  -11.079972  -9.477026  -9.26724   -9.153618
 -10.788638 -10.982706  -8.152364  -6.795106  -8.011192  -9.547264
 -10.293376 -11.759326  -8.126612  -5.740666]"
3,"[-8.601864 -7.937648 -7.991994 -7.387576 -6.672262 -9.160752 -8.586494
 -7.288628 -6.63897  -7.701588 -7.8271   -8.084852 -7.800536 -8.423804
 -8.595194 -8.49207  -7.305332 -6.227982 -8.174926 -7.945768 -5.418186]"
4,"[ -8.584638  -8.706438  -9.164928  -9.206398  -8.382276  -8.771688
  -8.33228   -9.632466 -10.091304  -9.720046  -8.347476  -8.848132
  -8.929216  -8.444104  -9.649402  -8.545894  -9.399016  -8.78497
  -9.507534  -8.551984  -8.6159    -7.538144  -5.83712   -7.956092
  -7.287004  -9.083728  -9.363114  -9.584616  -9.771782  -9.425522
  -8.591888  -8.305716  -8.622628  -9.034892  -8.641362  -9.200076
  -9.5062    -8.843666  -8.38883   -6.304252  -7.009996  -6.470828]"
5,[-6.775792 -7.609252 -6.346824 -5.151502 -5.580586 -8.525304]
6,"[-11.139944  -9.465368 -10.543298 -12.054836 -10.989202  -9.219564
  -7.544466 -10.183292  -9.983714 -10.650656  -8.55906   -8.640434
 -10.728376 -11.485914 -11.199336 -10.398994  -9.849328  -9.235746
 -10.783244 -10.891762 -10.958636 -10.841302 -10.436404 -10.62212
 -10.726868 -11.153458 -10.105224 -10.313966 -10.163282 -10.736786
  -9.542044  -9.123632 -10.390874 -10.734234  -9.503764 -10.504032
 -11.407614 -10.048442 -10.811026 -10.82338  -10.448178 -10.467724
 -11.13484  -10.737018 -10.531408  -9.575916 -10.17233   -9.780076
 -10.376548 -10.9852   -10.882308 -10.021066 -10.307702 -10.192804
 -10.02153  -11.171206 -10.223892 -11.355066  -8.931884 -10.187816
 -10.88225  -10.681396  -9.662452 -11.337898  -8.983794 -11.21372
  -9.892886 -10.985316 -11.390156 -10.409956 -10.933928 -10.343488
 -10.290012 -10.816652 -10.393658 -10.179754 -10.76683  -10.316344
 -11.108102 -10.750648  -7.390418  -9.355574  -7.92193   -8.009626
  -7.842354  -7.311654  -8.149928  -7.34889   -7.793982  -7.861494
  -8.075108  -7.301156  -8.14146   -8.267668  -8.61155   -6.900028
  -7.059064  -6.134544  -7.811904  -6.910932  -9.723468  -5.599668]"
7,"[-8.420092 -9.040634 -8.206942 -8.744892 -8.635562 -8.826614 -8.665896
 -8.609114 -8.503206 -8.558364 -8.955722 -8.94447  -8.478266 -9.137378
 -8.180494 -8.336224 -8.5173   -8.759798 -8.9407   -8.163094 -8.0069
 -6.255126 -5.321848 -7.220072 -6.121204 -6.129382 -6.21673 ]"
8,"[-11.168654 -11.723366 -10.34285   -9.322862 -10.526652 -10.706626
 -10.578678 -11.408252 -10.546604 -11.219172 -10.906668 -10.968728
 -11.417184 -11.506562 -12.013598 -11.188142 -11.540144 -11.539564
 -11.311798 -10.547416 -10.839214 -11.537244  -9.643022 -11.677314
  -9.862204 -10.885208 -10.240886 -11.345438 -10.19698   -7.071244
  -7.746654  -8.529654  -8.081082  -9.09904   -8.1896    -7.879358
  -9.57145   -9.36265  -10.203244  -7.797694 -10.026402  -9.126416
  -9.620518  -9.149674  -9.560488  -9.35308   -9.230468  -9.035994
  -9.662278 -10.370516  -9.6686    -9.89509   -9.557472 -10.247324
  -8.99696   -9.96179   -8.754752 -10.471494 -10.218208 -10.638534
 -10.280326  -8.984548  -9.465078  -9.781758  -8.9581    -9.666686
  -9.590822  -9.697832  -9.234876  -9.981626  -9.599406  -9.286786
  -9.755194  -9.294848  -9.706648  -9.481028  -9.07613 ]"
9,"[ -5.21217   -7.850126  -9.292528  -8.52513  -10.315068  -9.367928
  -9.57638   -8.130324  -8.716124  -9.751366  -9.447968  -9.348846
  -8.508136  -9.670804  -9.509216  -9.248854 -10.319128  -7.275114
  -8.30937   -9.83796   -9.917884  -8.526522  -9.56333   -9.12369
  -9.672892  -7.911432  -7.352196  -7.407934  -9.16052   -9.837728
  -9.991428  -9.98441  -10.117288  -9.367232  -9.430336  -9.296762
  -7.247216  -7.921988  -8.530292  -8.110082  -8.435172  -8.214134
 -10.338152 -10.660806  -8.317954  -9.85188   -9.02509  -10.288388
 -10.548518 -10.618002  -8.964364  -8.429836  -6.62505   -8.300206
  -9.252218  -8.322478  -9.211792  -8.908394  -9.141786  -8.606678
  -7.645734  -7.560764  -9.6135    -8.497464 -10.641086  -9.27449
  -9.549932 -10.435418  -9.610426 -10.166008  -9.887434 -10.160092
 -10.716544  -9.426334  -8.550302  -7.50578   -7.48142  -10.263506
 -10.323072  -9.81882   -9.828854  -9.800724  -9.168466  -9.765344
  -9.470472  -8.600414  -9.746494  -9.38759   -9.380746  -9.317352
  -8.649424 -10.080806  -8.008176  -9.586298 -10.509658 -11.22503
 -11.595766 -11.47037  -10.642188 -10.242916 -11.946318 -12.027112
 -11.014548 -11.959716 -12.40939  -10.422484 -11.236688 -12.062202
 -12.077456 -10.96751  -11.470428 -10.981198 -11.162506  -9.243634
 -11.8987   -11.037284  -9.977972 -11.461554 -10.28224   -9.991022
 -10.713876 -10.146462  -8.9987    -8.694432  -7.343032  -7.607222
  -9.259874]"
