,0
0,"[-21.24545329 -24.08706091 -21.02317835 -17.79371762 -17.13748665
 -16.91491743 -17.20281548 -18.45652071 -20.92440038 -21.46125421
 -18.90087442 -16.74198243 -17.23744171 -17.56251637 -17.74830134
 -17.02782055 -17.91093676 -17.96370989 -18.47309815 -17.13885993
 -15.46542191 -15.01528082 -15.81521558 -16.23406554 -18.53764224
 -22.15475988 -25.22609739 -26.85765041 -27.3022003  -26.56112033
 -26.63959339 -24.99195339 -24.20290677 -21.71374128 -23.03797418
 -22.14563739 -21.07467629 -20.0964115  -16.60367366 -16.87165916
 -17.90230472 -15.86789062 -15.75537987 -15.63158862 -17.17240717
 -13.92126826 -12.96899767 -13.02952002 -13.96442844 -15.30514069
 -17.45235981 -19.54857144 -17.63588868 -15.92733397 -17.50591767
 -16.04357219 -15.11062559 -15.78618055]"
1,"[-13.06757945 -12.9448672  -12.41487977 -11.75992399 -11.00314941
 -10.61706195  -9.45046181  -8.00292811  -8.50927554  -9.78897497
 -10.36133786  -8.93675753  -7.82449999  -8.90350458  -8.98707839
  -9.50176357 -13.06012451 -14.83489087 -13.16586696 -13.49800419
 -12.73926778 -11.67791964 -11.78513346 -12.58693195 -12.03997472
 -12.34807958 -13.88448401 -14.34070677 -13.97129484 -12.56505759
 -13.4933939  -13.75755384 -15.71271014 -16.32244583 -16.85567027
 -18.52999112 -20.32957458 -22.32681207 -20.96432355 -19.31923392
 -17.64295126 -17.51504017 -17.77292226 -19.18730109 -19.37161469
 -21.0440718  -22.22793601 -22.50141463 -25.35763785 -24.31119959
 -21.91855597 -18.17764707 -16.7207947  -15.34751614 -16.51598001
 -16.9333586  -18.2598476  -17.98126824 -17.74702615 -17.96488699
 -16.30410275 -16.87273816 -17.73653038 -16.88774614 -17.74702615
 -18.55824142 -19.93495318 -21.78005102 -22.09668982 -21.5303105
 -23.38472702 -21.01268257 -18.62151032 -17.68836754 -15.27855794
 -11.40169446 -11.56992109 -11.63230717 -15.17350213 -16.76218924
 -18.97777802]"
2,"[10.61274562  9.96338105 11.09721868 16.38591061 20.16899878 22.8567011
 25.37078179 24.31237638 20.80453248]"
3,"[ 6.54146514  6.09838662  3.74821655  0.45833157  0.06302352 -0.85864257
 -0.17023765  0.59791552 -0.53307746  0.86335065  0.18495104  0.72396288
  1.5356686   3.46669444  5.02811217  3.20528106  2.92248377  0.11020545
  1.08062294  0.38662681  0.43665338 -0.29893347 -0.10481073  2.29930957
  3.11170193  3.39548014  3.27296407  3.50779471  3.00762704  3.01537625]"
4,[9.02317569 8.85131968 9.36669151 7.89689108]
5,"[-19.52198869 -19.80880773 -19.45352095 -20.02833612 -20.38793892
 -19.63675555 -19.78781619 -19.69394279 -19.92082803 -19.87188045
 -20.48612834 -19.47774951 -19.42007181 -20.51604619 -19.82460043
 -19.70345765 -19.64833032 -20.97148422 -19.0560549  -21.49646899
 -23.75482559 -25.40393696 -23.99299133 -26.1950435  -23.80612735
 -24.2115388  -25.82160983 -26.26027424 -25.55244723 -24.66138562
 -24.87738272 -24.92211237 -25.45219789 -24.09118075 -22.66130349
 -20.12868355 -17.5350508  -13.9151866  -11.57835694 -10.76527794
  -8.89016416 -10.62481116  -9.41936686  -9.84714313  -9.49166017
  -5.80725187]"
6,"[  6.21109356   6.59355164   6.41041513   5.40605805   4.49037552
   4.70068332   3.71172657   3.55546709   3.43962124   3.66179809
   2.00071958   1.80698921   2.34600104   0.84539994  -1.35675033
  -0.86119295  -0.17965442   0.11285392   1.54577201   0.91318105
  -0.7734993   -0.31197961   0.82931296   0.03967779   1.28053306
  -1.38480445  -2.41829466  -1.53508036  -1.92332582  -3.66915524
  -4.80721081  -6.38059567  -7.27106873  -7.91189936 -10.59430476
 -10.67130645  -9.65351085  -8.61590081  -9.91335478 -10.13229461
  -8.43560895  -9.28301992 -11.46113781 -16.11596359 -19.63783455
 -19.11579251 -20.04285363 -19.95545426 -20.36057144 -20.08012834
 -19.66402493 -20.64856757 -21.55708943 -22.32789107]"
7,"[ 1.92989764e+00  2.40652339e+00  2.24692880e+00  1.29995514e+00
  2.72600684e+00  1.36086986e+00  9.24559640e-01 -1.96820398e-01
 -1.17253482e+00 -7.85270262e-01 -9.51731242e-01  4.00359594e-01
 -4.01144630e-01  2.37346661e+00  4.09948158e+00  5.53946225e+00
  6.73872680e+00  7.39329022e+00  5.78763330e+00  7.21535255e+00
  8.28552892e+00  8.43080217e+00  9.15520661e+00  8.38842672e+00
  8.62914283e+00  4.67596431e+00  2.44752557e+00  2.38121583e+00
  2.02602714e+00  1.41040598e+00  1.21549851e+00  3.24667560e+00
  3.50161495e+00  3.06177345e+00 -2.24285969e-01  1.35743666e+00
  2.49176475e+00  1.94804453e+00  7.20479264e-02 -8.17640399e-01
 -1.27513834e+00 -8.06359897e-01 -1.20470877e+00  1.85652533e+00
  6.24807399e+00  8.35419285e+00  9.34491524e+00  7.40476690e+00
  4.10938881e+00  1.48338592e+00 -4.58578473e-02  1.69281090e+00
 -8.06802680e-02 -2.81487789e+00 -2.78809895e+00 -1.74538816e+00
  2.12514705e-01 -8.68123480e-03  1.31770967e+00 -2.27424892e-01
 -6.55201164e-01  2.84317556e-01  1.41300403e-01 -2.77941924e-01
 -9.83316649e-01 -1.82886388e+00 -1.75048891e+00 -4.56139910e-03
  1.10308585e+00  3.41846746e-02 -5.30625180e-01 -9.85572749e-01
 -9.31426338e-01 -1.29446233e+00  4.30669814e-01  1.06914625e+00
  2.87226101e+00  3.50563670e+00  1.97727575e+00 -1.10426325e+00
 -4.13283294e+00 -7.84794382e+00 -7.85755677e+00 -7.58839417e+00
 -7.11588825e+00 -4.99309387e+00 -3.22686145e+00 -3.73095278e+00
 -8.03049177e+00 -8.73282567e+00 -8.59127989e+00 -9.42878363e+00
 -1.38757539e+01]"
8,"[12.10147768 12.44146221 11.89636871 11.45525202 11.92569802 13.46945931
 11.57629672 12.87669343 15.52162794 19.00808793 20.57548923 19.41997341
 19.44714471 18.37893017 19.98144816 17.20291326 16.2401469  17.89367238
 20.30868082 20.29190721 17.2805035  19.81606618 18.35852717 16.97073109
 16.22307901 16.32999855 16.41739792 16.41406282 18.31428799 20.49377916
 18.27073544 16.74718096 16.73648901 20.02921864 20.39362791 19.64558346
 20.36302342 21.2260309  19.07832132 18.25219618 18.64289393 18.64328629
 15.28071564 13.73822954 13.86153034 14.81272192 16.57277459 15.60098382
 17.55005847 20.89801351 19.15238027 18.79101183 21.43516161 21.02906352
 21.88746071 21.88824544 21.82164143 21.52619036 22.06814494 22.70534619
 24.37515483 24.38869143 23.53117706 23.00736938 22.6068625  22.21243728
 22.1013979  20.22834403 20.29661559 20.34468034 20.41962211 21.37051943
 22.46992701 22.25677456 23.04287844 25.57118237 23.50076875 22.24990816
 20.87859143 19.74063395 20.24148826 20.57274267 19.72523362 18.56922734
 15.46051704 15.17752357 11.39777051 12.53945545 14.96701958 14.02132111
 14.48323316 15.19939793 14.3052955  14.83469438 14.17738441 14.75474995
 14.05271033 14.68382992 14.46086834 15.50554096 14.72071226 14.72640156
 14.43801306 14.38121818 14.17316648 14.27979175 15.2020464  14.55327037
 14.76200871 15.19704374 16.87244359 19.6055622  16.41268954 13.867612
 13.49466878 13.21334286 12.17092634 10.44412663  9.19964198  8.81002324
 10.77773523  9.95896694 10.42264463 10.25608556 10.41950571 13.69595218
 15.76028413 13.22717373  9.63732548  9.88785073 10.90515587 11.09074466
 13.60129405 11.83682728 10.28796524 10.40479201 10.76665091  9.19748397
  8.9868819   8.62541536  7.88482585  6.90214695  6.61464127  6.47741151
  8.47356999  6.0726867   4.19845573  2.93808029  0.36220207  1.18028373
  0.35651277  2.22152315  0.06861473 -0.08921421  1.09955457  3.11631223
  3.49465047  0.53140961 -0.70287355]"
9,"[-13.55254297 -12.82019313 -12.59605445 -12.99665942 -11.31360845
  -9.99437821  -9.08477735  -6.59669086  -6.60345917]"
