,0
0,"[ 8.748894 11.729166  9.30262   8.575648  9.276578  9.819342 10.545618
 10.342212  9.92757   9.529864 10.221398 10.4835   10.54208  10.293376
 10.510122 10.436984 10.589756  9.518496  6.58851   5.530938  5.340466
  5.59497   6.30924   6.380116  8.170692  5.770536  5.849068  9.69006
 10.021878  8.799644 11.10932   8.762698  8.093262  9.02596   8.638694
  6.461084  8.466956 10.199996  9.992124  9.51229  10.761552 10.457284
  9.595752 11.324094 11.171148  8.867388  7.939272  7.203774  8.775574
 10.125118 11.193246  9.36033  10.941758  9.15472  10.743456  9.139176
  7.678678  5.428974]"
1,"[ 8.782012  9.965734  8.78207   8.418526  9.128794  8.54166   8.777372
  8.481862  8.64374   8.722968  8.400024  8.965698  9.434976  8.247252
  6.906118  6.49223   9.308304  9.097822  9.197756  9.391824  9.067488
  7.99501   8.137052  6.85444   7.640862  8.644842  9.369958  8.648322
  9.183372  9.556834  8.88212   8.999512  8.85341   9.331968 10.703552
  9.81621  10.516386  9.779032 10.03806   9.808322  9.28986   9.722714
 10.018746  9.168176 10.264956  7.74213   8.639274  8.362846  9.134362
  8.846044  8.880728  9.825896  7.762314  7.02177   8.400836  9.093472
  9.424826  8.149638  9.167538  8.919472  9.493614  9.69731   8.248296
  9.076072  9.840976  9.608744 10.625252  7.190666  6.095858  7.12124
  9.159534  7.848792  7.027222  6.68885   8.827774  8.669144  6.486024
  8.154104  9.97629   7.129766  7.372496]"
2,"[ 5.314424  7.32308  10.053662  9.388692  8.466724  6.60098   7.07803
  8.98797   5.073376]"
3,"[7.477534 7.813006 6.746908 7.88858  8.86704  9.834074 7.285032 9.129142
 9.282552 9.456668 9.58769  9.751656 9.583108 8.218368 8.691938 9.58885
 8.355828 9.610484 8.842448 9.525108 9.397102 8.761422 9.325124 8.612478
 8.796802 9.224668 9.279942 8.81426  9.050146 5.716016]"
4,[9.356966 9.568318 7.825824 6.124626]
5,"[10.96983  11.520134 11.702486 10.214786 10.597238  9.791096  9.831174
 10.614812 12.066088 10.354392 11.143598 10.4603   10.702334 10.72246
 11.080146 11.449954 10.73783  10.78133  10.31414   9.514842  7.49447
  8.776328  7.959282  8.892212  8.903812  7.825592  7.73024   9.273504
  7.255336  7.829072  6.40233   7.396508  9.05264   9.529342  7.56813
  9.038082  6.466594  6.465608  7.101636  8.854686  9.91684   9.451738
  9.499994  9.850256  9.428654  8.69565 ]"
6,"[ 6.619714  8.323058  7.639644  8.562192  7.267226  8.687762  6.01373
  6.40726   6.621396  6.58851   5.036372  7.557168  8.184902  8.374852
  8.768498  9.827114  9.279246  6.754448  7.245128  8.723316  9.325124
  9.06772   9.390954  8.66027   8.459706  7.31844   9.331504  8.635156
  8.562482  8.188498  7.338276  8.206884  8.122958  8.866112  9.211676
  8.94882   7.412168  8.632662  7.030586  8.99087   9.604278  9.458988
  7.122922  6.4902    8.557958  8.53383  10.242626  9.35482   7.366696
  8.248122  8.891052  6.638216  7.197046  5.566898]"
7,"[ 7.685928  7.9779    7.967576  7.602176  7.547598  7.560996  8.744834
  9.250536  9.230294  8.290114  9.078334  8.639854  8.786014  9.190564
  9.104376 10.026866 10.93996  10.821756  9.500922 10.390758 10.93039
 10.993842 10.82744   9.581716 11.14905   9.585718  7.935444  8.818262
  7.516104  9.208718  9.362882  7.55363   7.789226  8.996032  9.554514
  9.588966  8.689676  9.486596  8.417134  9.711984  9.453072  9.158026
  8.43117   9.234818  7.584602  8.527856  9.052698  9.156634  7.864626
  7.756572 10.38258   9.234412  8.42566   9.84956   8.117042  6.687806
  9.459336 10.045658  9.298908 10.073382 10.267914  9.67672   9.312944
  9.815978  8.789494  8.885948  8.958912  9.909996  8.83543  10.25672
  9.622896  9.045332  9.158954  9.35888   8.670594  8.440624  8.71044
  9.071432  9.76807   9.487582  7.835278  8.576286  8.591366  7.983352
  7.909344  9.35946   7.457698  9.508694  9.303664  7.03192   9.08773
  7.99414   5.534302]"
8,"[ 9.939112 10.036088  8.806952 10.21061  10.251442 10.436694  9.89509
 10.400966  9.930586  8.287678  8.904508  9.675502  9.95715   9.563504
  9.507592  9.163014  8.78207   7.898208  8.625934  8.92127   9.106522
  9.30639   9.73965   8.370502  8.04025   8.767976  8.078008  9.036864
  9.607816  9.439152 10.454848  8.052546  8.641246  9.209762  8.655398
  9.458988  9.688436  9.305752 10.211132  9.695976  8.907756  9.134478
  8.862748  9.06714   9.115048  9.368682  9.26521   9.189404  8.917732
 11.70962  11.172192 10.97766  10.689748 11.103578 11.377222 10.64242
 10.828426 11.156532  9.96527   9.270662 10.672522 10.338094 10.248078
  9.461656 10.204926  9.581774 10.61197  10.968032  9.593432  8.745646
 11.081886 11.936516 11.278042 11.524774 10.079994  8.943658 10.58877
 10.88341  10.597992 10.31182  10.890892  8.72291   7.613254  8.440856
  8.883338  8.423978  8.376534  8.645538  7.981554  8.314648 10.378056
  9.794924 10.30312   9.275012 10.015324  9.668078 10.6343    9.591982
  9.869918  9.54303   9.644182 10.101512  9.94642  10.173838 10.065958
 10.069728  9.228322 10.078718  8.769716 10.852554  8.504076  7.491802
  9.287598  9.38614   9.297516  9.102578  7.746306  9.660596  9.58015
  8.747502  9.623708  8.99783   8.032826  7.881098  8.50396   8.80643
  8.336456  9.059136  8.278978  8.637708  8.807242  9.225538  8.800572
  8.047036  8.171562  8.337964  8.12145   8.232172  8.442248  9.473778
  8.788856  9.434222  9.481144  9.034834  9.405512  8.781026  9.127692
  9.962312 10.455718  9.951292  9.797824 10.252428  9.321644  9.82926
 10.151682  9.749684  8.585798  9.601262  8.670826]"
9,"[10.15087  10.599268 10.442842 10.497594  9.888014  8.041874  8.855672
  8.805328  6.190456]"
