,0
0,"[-44.07476745 -43.63288564 -42.66338041 -43.47960814 -44.36679514
 -42.16793093 -44.6696423  -46.86537739 -47.57519565 -46.10838701
 -44.91794087 -44.63950864 -44.23008525 -45.40674956 -45.28114362
 -45.53262035 -44.86028279 -42.74585559 -44.10987433 -42.43848642
 -46.83439034  47.55688169 -48.86774996  48.16573455  48.32199404
  48.82431972  47.84232745  47.96994427  48.54113006  48.63667101
 -48.39970229  48.90377369  48.30423951  46.5446773   46.48209504
 -48.03143803 -44.42356059 -40.72258467 -40.0273624  -39.59342599
 -37.93392675 -36.64147544 -35.32538412 -34.2557963  -33.06202486
 -33.62418625 -36.602337   -40.32921883 -43.18654068 -46.62205205
  47.74325521  43.6587324   43.20937604  45.78613708  46.79510446
  47.57071257  49.00892759 -48.26360646 -48.39106437 -47.62928321
 -45.8718692  -46.09024992 -48.85002878 -48.85599567 -48.80340401
 -47.51288804 -45.21744311 -44.55309018 -43.38235059 -43.40602003
 -43.68051879 -42.8976323  -42.69385738 -41.08452204 -40.02411557
 -40.19869852 -39.6976284  -38.46567982 -37.29927587 -36.63794415
 -36.01241576 -34.55615194 -32.20902269 -33.17463371 -33.85646651
 -32.52683859 -31.52777844 -31.75476176]"
1,"[-40.0057725  -37.54254236 -38.96202193 -40.13570427 -38.9634933
 -37.68428432 -36.81853028 -34.94616305 -34.10512802 -35.78298015
 -37.30270906]"
2,"[-19.30353931 -18.7969957  -17.30483046 -17.68150115 -17.51101842
 -18.58178334]"
3,"[-22.35888793 -22.13945763 -22.41587899 -22.32269223 -22.11238443
 -22.64335278 -22.44677776 -22.63756539 -22.64001767 -22.59146246
 -22.29758085 -22.48758375 -22.26942864 -22.24176689 -22.23323294
 -22.17045449 -22.28845836 -22.44216747 -22.17506479 -22.29375529
 -22.32171132 -22.44089228 -22.60323342 -22.20115708 -22.2755103
 -22.71005488 -22.64119477 -22.41793891 -22.43539916 -22.49180168
 -22.63913485 -22.42666904 -22.45070141 -22.17202395 -22.23048638
 -22.55124502 -22.70701405 -21.97074055 -21.72923971 -22.12327257
 -22.45707735 -22.49513678 -22.72771132 -22.45580216 -22.53574659
 -22.64433369 -22.52044434 -22.38517641 -22.66238249 -22.23902033
 -21.70795389 -22.20056853 -21.55924744 -21.89972243 -22.09747455
 -22.38733442 -22.14514693 -22.00203169 -22.26717254 -22.16388237
 -22.38537259 -22.73938418 -22.57105947 -22.67905802 -23.02277002
 -22.07697346 -22.26805536 -22.57822014 -22.10424285 -22.23401767
 -22.67905802 -22.74880095 -22.48974176 -22.16898312 -22.04813461
 -22.48807421 -21.97436993 -22.40440231 -22.38399931 -22.66522714
 -22.84149725 -22.39694736 -22.63991958 -22.76478984 -22.71034915
 -22.09619936 -22.45815635 -22.38321458 -22.759591   -22.58861782
 -22.61127691 -22.7742066  -22.50828102 -22.53466759 -22.37811383
 -21.90403845 -22.60431243 -22.375073   -22.3705608  -22.59803458
 -22.80108363 -22.3863535  -22.45452697 -22.34476278 -22.42382439
 -22.62706962 -22.21184903 -22.64923826 -22.31602202 -22.42745377
 -22.93115273 -22.3026816  -22.37831001 -22.54653664 -22.54614427
 -22.56870528 -22.56635108 -22.15495606 -22.29620757 -22.43775336
 -22.39292562 -22.47306623 -22.1024772  -22.52691837 -22.7142728
 -22.25569586 -22.52476036 -22.59518993 -22.12415539 -22.35368909
 -22.45854872 -22.59244338 -22.06510441 -22.23284058 -22.37978138
 -22.44167701 -22.55340303 -22.60696089 -22.36084976 -22.37026652
 -22.58616553 -22.56576254 -22.34015249 -22.40577558 -22.161332
 -22.24892755 -22.87887005 -22.43461443 -22.55114693 -22.39341608
 -22.2766874  -22.503965   -22.70289421 -22.25510731 -22.52574128
 -22.18820902 -22.60764753 -22.64815925 -22.64953253 -22.48415055
 -21.67921313 -22.71937355 -22.17928271 -22.54516336 -22.37134553
 -21.53923681 -22.33917157 -22.24431726 -22.49915853 -22.13386643
 -22.54545763 -22.59028537 -21.81811045 -22.60823608 -22.80795002
 -22.29287247 -22.83933924 -22.77028295 -22.32936244 -22.12729431
 -22.71672509 -22.72476858 -22.34898071 -22.48012881 -22.22813219
 -22.66140158 -22.75635398 -22.74409257 -22.32112277 -22.29355911
 -22.33554219 -22.27717786 -22.4982757  -22.37811383 -22.52240617
 -23.0501375  -22.6182414  -22.95920685 -22.6125521  -22.06579105
 -22.20596355 -22.62775625 -22.54477099 -22.25039892 -22.7528227
 -22.59067773 -22.52878211 -22.76567266 -22.16829648 -22.67503627
 -22.55291257 -22.2292112  -21.92120443 -22.53761033 -22.47895171
 -22.74880095 -22.08021047 -21.28056998 -22.08962724 -22.19968571
 -22.38488213 -22.19517351 -22.79176495 -22.93743057 -22.02302323
 -22.64658979 -22.54418245 -21.98241342 -22.52642792 -22.57841632
 -22.07216698 -22.17369151 -22.52495655 -22.52005198 -22.56762627
 -22.49543106 -22.13828054 -22.38086039 -22.53172485 -22.35869175
 -21.61535568 -22.23264439 -22.29336292 -22.82119235 -22.70877969
 -22.35800511 -22.44736631 -22.45148614 -22.06481014 -22.54202444
 -22.72849605 -22.70985869 -22.41274007 -22.25030083 -22.30199496
 -22.82079998 -22.47806889 -22.82776447 -21.56326919 -22.20331509
 -22.7403651  -22.88907155 -21.99614621 -21.70707107 -22.06549677
 -22.35496428 -21.73218245 -22.33053954 -22.38684396 -22.40312712
 -22.60382197 -22.80569392 -22.58871591 -22.34015249 -22.57439457
 -22.29797322 -22.2314673  -21.87176641 -22.3738959  -22.78705657
 -22.60568571 -22.33858303 -22.52760501 -22.47855935 -22.72986933
 -21.95004328 -22.03567701 -21.57033176 -22.59734794 -22.48964367
 -22.48218873 -22.74301356 -22.52201381 -22.09953446 -22.31013654
 -22.59636703 -22.71231098 -22.02233659 -21.34364271 -22.26854582
 -22.36957989 -22.43559535 -22.67140689 -22.48052117 -22.81972098
 -22.1500515  -22.24382681 -22.35957457 -22.73153688 -22.4304946
 -22.22273717 -21.84027909 -22.11248252 -22.06785097 -22.74399448
 -22.28051296 -22.48042308 -22.4417751  -22.73085024 -22.3977321
 -22.5345695  -22.51828634 -22.14848204 -21.62457626 -22.23431195
 -22.04852698 -22.63491692 -22.44609112 -22.54526145 -22.38478404
 -22.83168812 -22.31180409 -21.98349243 -22.46531702 -22.50200317
 -22.56203507 -22.11748518 -22.29228392 -22.10797032 -21.92797274
 -22.53329431 -22.6544371  -22.22106962 -22.43294688 -21.95877341
 -22.28708508 -22.10846078 -21.83400125 -22.44265792 -22.13926145
 -22.59116819 -21.95641922 -22.21528223 -22.8273721  -22.73673572
 -22.5119104  -22.55202975 -22.35751465 -22.4225492  -22.34584178
 -22.45187851 -22.4123477  -22.24941801 -22.47365478 -22.86464681
 -22.82609692 -22.3785062  -22.6204975  -22.67042598 -22.71397853
 -22.16074345 -22.01792248 -22.07177462 -22.6046067  -22.68837669
 -22.42451103 -22.54477099 -22.65973403 -22.32014186 -22.28296524
 -22.73438153 -22.04303386 -22.70564077 -22.55585531 -22.50435737
 -22.29444193 -22.22097153 -22.12788286 -22.66326531 -22.09786691
 -22.63599593 -22.42215684 -22.26668208 -22.58361516 -22.45609643
 -22.28767363 -22.25922714 -22.5921491  -22.70093238 -22.68935761]"
4,"[ -4.97190614  -2.28822556  -1.05717942  -2.199551    -2.00101416
  -0.77173366   0.15591601  -0.87237536  -1.91332051  -0.25381146
   0.49747001   0.60419337  -0.89375927  -1.74558434  -1.81719101
  -2.73483536  -4.42288899  -5.5457404   -6.75550072  -0.73249713
   0.1854415   -4.69067831  -7.92720161  -6.16871841  -5.94624728
  -6.34606753  -7.58113541  -8.18027723  -7.18053044  -5.30217964
  -2.38092186  -1.97874742  -1.53782691  -1.4271799   -1.59746644
  -1.66093153  -1.79590519  -0.81155874   1.00479834  -1.38088079
  -3.12013809  -4.92864787  -5.53691218  -6.20569884  -6.49928618
  -4.63584526  -3.71751427  -5.22135238  -6.12349831  -6.45592981
  -5.47472228  -3.14456283  -2.09724175  -1.69202648  -2.63811732
  -5.96164762  -8.17125283  -8.41491168  -8.97432651  -8.51771139
  -9.20690105 -10.46099865 -10.58341662  -9.87372588  -9.57788244
 -10.06421923 -10.55438159 -10.50739584 -10.1912475   -9.82105084
 -10.37006799 -10.33181237 -10.0476418   -9.68333062 -12.8171523
 -14.16482902 -17.11423901 -15.75518369 -18.418167   -19.63655936
 -17.75644292 -20.62512375 -21.90972775 -22.482483  ]"
5,"[19.94770474 18.32556849 17.63745784 14.76240107 15.51201499 15.82669196
 16.26437546 17.41430007 16.542072   15.22411695 16.435741   15.70093888
 15.78304132 15.32632811 16.69666393 17.43627253 17.99225416 17.26206233
 16.10497705 17.25853104 17.65187726 18.76021115 18.69282241 16.27604832
 15.52614014 16.97553757 17.72211065 18.37814544 17.60008504 18.19687267
 18.20883981 17.88298043 17.15053249 18.26877361 18.55706402 18.28731287
 17.50954675 18.87537037 17.90799371 18.09740806 17.82981493 17.96518096
 17.99686445 17.59341483 17.89102391 18.16558154 18.56834452 18.7382387
 18.7630558  17.14700121 17.07990674 17.81549359 17.93722493 18.31585745
 16.98367915 17.20850447 17.38212612 17.72730949 19.77732011 21.90766753
 22.60676441 22.30091565 21.72217683 22.43314276 21.71629135 20.46945251
 22.14181152 23.10820726 23.63535005 23.10143896 22.31719881 22.71260495
 21.34334813 19.17170426 18.69399951 18.27063735 19.19593282 19.47676829
 17.48139454 18.46574099 15.12720272 15.39214739 20.34575934 24.04890308
 22.75301857 21.09998355 21.36796905 22.41264167 22.62579412 23.92815266
 22.47806859 22.83659238 21.29028072 20.48897268 20.90321235 22.06461365]"
6,"[27.6221739  28.29547276 25.71606325 25.48319445 27.59833771 26.77829422
 28.28193616 27.69878322 29.2471548  29.07618162 30.62259138 29.82206806
 28.4239724  26.82429905 25.33046625 23.54893159 24.48766558 23.70479871
 28.02415215 28.42240294 27.42255805 28.62250924 28.40592359 27.01224203
 26.3883812  24.32620726 23.54628313 25.99238652 25.015495   23.89244741
 24.27922151 24.91563804 26.60859623 28.26712437 28.40641405 30.5748209
 33.1814017  32.89821204 31.4490108  31.81910937 29.96724323 28.76130847
 32.64219368 34.42068751 36.05773365 35.84948577 35.54863967 34.81089481
 35.82682667 36.2392026  39.13495664 40.82055798 41.13376358 40.75228642
 41.11855943 40.77210087 41.66532048 41.45442413 40.4471243  40.83193657
 41.64432894 41.15289139 40.95690492 41.69837726 41.78705181 41.53868458
 40.9842724  41.15063529 41.35966791 40.90874208 41.51180755 40.62153068
 41.84316005 41.60950651 40.91227337 41.38556402 40.78004626 41.45628786
 41.22430188 42.04660146 41.35760799 40.88941809 41.7838148  41.68415401
 41.20860727 41.32602258 41.08824921 42.19726974 41.18535962 41.40027772
 43.37083436 40.58121515 40.74188874 40.68018929 40.94758625 39.72752634
 40.61466429 40.98721514 43.54975294 44.7240042  44.933233   45.26821488]"
7,"[30.24876533 33.09282524 32.16262519 32.37273681 32.05070299 32.62591052
 32.21392696 32.80355392 34.0351886  34.06294845 33.99781581 33.92150076
 36.01251355 34.42931955 35.68439807 33.93964765 32.12760659 27.87024686
 24.86669046 22.15583858 19.37161439 18.33518144 17.86041942 15.80442523
 13.58432425 13.65818702 15.01194541 14.37288042 13.72420248 14.81066201
 15.65287413 15.60843876 14.17140084 12.95987487 12.9561474  13.66760379
 13.54548009 13.55676059 13.99866201 13.01451174 13.98983379 13.90312106
 14.12098189 14.16424017 17.10099638]"
8,"[34.98638019 35.79376989 33.86372497 35.46163266 36.68159448 34.37419223
 33.27262664 33.67980373 32.69535918 32.41167907 33.84449907 33.31774865
 32.96609124 32.62630289 32.22334372 34.44403325 31.87021495 32.39716155
 32.42089965 32.1964667  33.6563599  31.38044496 29.49385449 27.10915626
 25.7088045  22.25579364 19.50992316 19.06684464 21.21112102 22.39753561
 20.66328097 21.27301665 22.2902237  24.70268177 27.58274119 29.32101757
 29.89769648 30.77630048 29.50287889 29.07618162 28.68479723]"
9,"[38.78418205 38.43448648 38.70874983 38.61350315 42.08976165 45.35659516
 44.19735187 45.27547364 47.14440767 46.05363213 47.1248875  46.8670054
 44.13231733 41.86532869 39.00449517 38.46567952 39.80953068 39.87142631
 39.85406415 40.57925332 38.91984236 40.0535819  40.24417335 39.95333257]"
